,location,course_link,duration,entry_score,course_qualification,intakes
340,Australia,https://www.idp.com/global/Categories/The-Australian-National-University/Bachelor-of-Accounting-Bachelor-of-International-Relations-Flexible-Double-Degree-Arts-Social-Sciences-Business-Science/p/PRG-AU-00120346,4 Year(s),6.5 IELTS,Dual Degree,"['feb', 'july']"
341,Australia,https://www.idp.com/global/Categories/The-University-of-Newcastle/Master-of-Professional-Accounting-Master-of-Business-Administration/p/PRG-AU-00163659,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['january', 'may', 'august']"
342,Australia,https://www.idp.com/global/Categories/Federation-University-Australia/Bachelor-of-Commerce-Accounting/p/PRG-AU-00065025,3 Year(s),6.0 IELTS,Bachelor Degree,"['march', 'july', 'november']"
343,Australia,https://www.idp.com/global/Categories/Federation-University-Australia/Bachelor-of-Professional-Accounting/p/PRG-AU-00370706,3 Year(s),6.0 IELTS,Bachelor Degree,"['march', 'july']"
344,Australia,https://www.idp.com/global/Categories/Curtin-University/Bachelor-of-Commerce-Accounting/p/PRG-AU-00247858,3 Year(s),6.5 IELTS,Bachelor Degree,"['feb', 'july', 'november']"
345,Australia,https://www.idp.com/global/Categories/All-Accounting/Accounting/Diploma-of-Accounting/p/PRG-AU-00312086,12 Month(s),,Diploma,"['feb', 'april', 'july', 'october']"
346,Australia,https://www.idp.com/global/Categories/Western-Sydney-University---Sydney-City-Campus/Bachelor-of-Accounting/p/PRG-AU-00216998,3 Year(s),6.5 IELTS,Bachelor Degree,"['march', 'july', 'november']"
347,Australia,https://www.idp.com/global/Categories/The-Australian-National-University/Bachelor-of-Accounting-Bachelor-of-Economics-Flexible-Double-Degree-Arts-Social-Sciences-Business-Science/p/PRG-AU-00120354,4 Year(s),6.5 IELTS,Dual Degree,"['feb', 'july']"
348,United Kingdom,https://www.idp.com/global/Categories/University-of-Central-Lancashire/MA-Accounting-and-Finance-CIMA/p/PRG-UK-00109318,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
349,United Kingdom,https://www.idp.com/global/Categories/Kingston-University-London/Master-of-Science-in-Accounting-and-Finance-including-Professional-Placement/p/PRG-UK-00274456,2 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
350,Australia,https://www.idp.com/global/Categories/The-Australian-National-University/Bachelor-of-Economics-Bachelor-of-Environment-and-Sustainability/p/PRG-AU-00351911,4 Year(s),6.5 IELTS,Dual Degree,"['feb', 'july']"
351,Australia,https://www.idp.com/global/Categories/CQUniversity-Australia/Graduate-Certificate-in-Professional-Accounting/p/PRG-AU-00371899,,6.0 IELTS,Graduate Certificate,"['march', 'july', 'november']"
352,Australia,https://www.idp.com/global/Categories/Swinburne-University-of-Technology/Graduate-Certificate-of-Professional-Accounting/p/PRG-AU-00064913,,6.5 IELTS,Graduate Certificate,"['march', 'august']"
353,Australia,https://www.idp.com/global/Categories/CIC-Higher-Education/Bachelor-of-Business-Accounting/p/PRG-AU-00073423,3 Year(s),6.0 IELTS,Bachelor Degree,"['january', 'march', 'may', 'august', 'october']"
354,United Kingdom,https://www.idp.com/global/Categories/De-Montfort-University/Forensic-Accounting-MSc/p/PRG-UK-00106112,1 Year(s),6.0 IELTS,Masters Degree (Taught),['september']
355,United Kingdom,https://www.idp.com/global/Categories/University-of-Glasgow/Corporate-Governance-and-Accountability-MSc/p/PRG-UK-00111723,1 Year(s),6.5 IELTS,Masters Degree (Taught),"['january', 'september']"
356,United Kingdom,https://www.idp.com/global/Categories/All-Accounting/Accounting/MSc-in-Accounting-and-Finance/p/PRG-UK-00114021,1 Year(s),6.0 IELTS,Masters Degree (Taught),['september']
357,United Kingdom,https://www.idp.com/global/Categories/All-Accounting/Accounting/BSc-Hons-Accounting-Business-Finance-and-Management/p/PRG-UK-00079497,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,['september']
358,Australia,https://www.idp.com/global/Categories/La-Trobe-University/Bachelor-of-Business-in-Accounting-Melbourne-Bundoora/p/PRG-AU-00207509,3 Year(s),6.0 IELTS,Bachelor Degree,"['march', 'july', 'november']"
359,United Kingdom,https://www.idp.com/global/Categories/Brunel-University/Accounting-and-Business-Management-BSc/p/PRG-UK-00071385,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,['september']
360,Australia,https://www.idp.com/global/Categories/La-Trobe-University/Bachelor-of-Business-in-Accounting-Melbourne-Bundoora/p/PRG-AU-00207509,3 Year(s),6.0 IELTS,Bachelor Degree,"['march', 'july', 'november']"
