,area of study,course_name,university_name,course_fee,course_link
85,environmental-science,Bachelor of Arts in Biology - Ecology and Conservation Biology,Boston University,"USD 227,416",https://www.idp.com/global/Categories/Environmental-Science/Ecology/Bachelor-of-Arts-in-Biology-Ecology-and-Conservation-Biology/p/PRG-US-00021340
86,environmental-science,Doctor of Philosophy in Environmental Health - Occupational Ergonomics and...,Colorado State University,"USD 123,432",https://www.idp.com/global/Categories/Colorado-State-University/Doctor-of-Philosophy-in-Environmental-Health-Occupational-Ergonomics-and-Safety/p/PRG-US-00037241
87,environmental-science,Sustainable Energy and Environment (MSc),Cardiff University,"GBP 21,950",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Sustainable-Energy-and-Environment-MSc/p/PRG-UK-00069865
88,environmental-science,MSc Global Wildlife Health and Conservation,University of Bristol,"GBP 23,500",https://www.idp.com/global/Categories/University-of-Bristol/MSc-Global-Wildlife-Health-and-Conservation/p/PRG-UK-00098760
89,environmental-science,Environment and Development MSc,Lancaster University,"GBP 22,550",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Environment-and-Development-MSc/p/PRG-UK-00077525
90,environmental-science,MSc Sustainable Water Management,Lancaster University,"GBP 24,430",https://www.idp.com/global/Categories/Lancaster-University/MSc-Sustainable-Water-Management/p/PRG-UK-00104128
91,environmental-science,Master of Disaster Resilience and Sustainable Development,The University of Newcastle,"AUD 73,260",https://www.idp.com/global/Categories/The-University-of-Newcastle/Master-of-Disaster-Resilience-and-Sustainable-Development/p/PRG-AU-00284565
92,environmental-science,"MSc Environmental Monitoring, Modelling and Reconstruction",University of Manchester,"GBP 19,000",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/MSc-Environmental-Monitoring-Modelling-and-Reconstruction/p/PRG-UK-00069182
93,environmental-science,Master of Sustainability,The University of Sydney,"AUD 76,500",https://www.idp.com/global/Categories/The-University-of-Sydney/Master-of-Sustainability/p/PRG-AU-00059920
94,environmental-science,Master of Energy Change,The Australian National University,"AUD 93,820",https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-Energy-Change/p/PRG-AU-00120263
95,environmental-science,MSc Sustainable Management,Loughborough University,"GBP 27,300",https://www.idp.com/global/Categories/Loughborough-University/MSc-Sustainable-Management/p/PRG-UK-00372698
96,environmental-science,MSc Sustainable Energy and Entrepreneurship,University of Nottingham,"GBP 25,000",https://www.idp.com/global/Categories/University-of-Nottingham/MSc-Sustainable-Energy-and-Entrepreneurship/p/PRG-UK-00081072
97,environmental-science,"Bachelor of Environment and Business, Honours, Co-operative Program",University of Waterloo,"CAD 205,500",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Bachelor-of-Environment-and-Business-Honours-Co-operative-Program/p/PRG-CA-00335588
98,environmental-science,Master of Environmental Science - Catchments and Water,The University of Western Australia,"AUD 81,400",https://www.idp.com/global/Categories/The-University-of-Western-Australia/Master-of-Environmental-Science-Catchments-and-Water/p/PRG-AU-00328303
99,environmental-science,MSc Environmental Impact Assessment and Management,University of Manchester,"GBP 19,000",https://www.idp.com/global/Categories/University-of-Manchester/MSc-Environmental-Impact-Assessment-and-Management/p/PRG-UK-00069145
100,environmental-science,Bachelor of Environmental Studies - Environment and Business [Co-op Only],University of Waterloo,"CAD 164,400",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Bachelor-of-Environmental-Studies-Environment-and-Business-Co-op-Only/p/PRG-CA-00067053
101,environmental-science,Graduate Certificate in Environmental Monitoring and Impact Assessment,Cambrian College,"CAD 25,720",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Graduate-Certificate-in-Environmental-Monitoring-and-Impact-Assessment/p/PRG-CA-00086615
102,environmental-science,Graduate Certificate in Environment Health and Safety Management,Durham College,"CAD 19,983",https://www.idp.com/global/Categories/Durham-College/Graduate-Certificate-in-Environment-Health-and-Safety-Management/p/PRG-CA-00348178
103,environmental-science,MSc Sustainable Energy Technologies,University of Southampton,"GBP 24,400",https://www.idp.com/global/Categories/University-of-Southampton/MSc-Sustainable-Energy-Technologies/p/PRG-UK-00083369
104,environmental-science,Master of Environmental Management,The University of Queensland,"AUD 82,080",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Master-of-Environmental-Management/p/PRG-AU-00272857
105,environmental-science,"MSc Health, Safety and Environment Management",University of Birmingham,"GBP 24,480",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Health-Safety-and-Environment-Management/p/PRG-UK-00072956
106,environmental-science,Master of Environmental Management - Conservation Biology,The University of Queensland,"AUD 82,080",https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Environmental-Management-Conservation-Biology/p/PRG-AU-00115323
107,environmental-science,"Postgraduate Diploma Health, Safety and Environment Management",University of Birmingham,"GBP 16,320",https://www.idp.com/global/Categories/University-of-Birmingham/Postgraduate-Diploma-Health-Safety-and-Environment-Management/p/PRG-UK-00371519
108,environmental-science,Master of Environmental Management - Resource and Environmental Economics,The University of Queensland,"AUD 61,560",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Master-of-Environmental-Management-Resource-and-Environmental-Economics/p/PRG-AU-00115827
109,environmental-science,Master of Sustainable Development,Murdoch University,"AUD 65,606",https://www.idp.com/global/Categories/Murdoch-University/Master-of-Sustainable-Development/p/PRG-AU-00111180
110,environmental-science,Master of Conservation Science,The University of Queensland,"AUD 90,036",https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Conservation-Science/p/PRG-AU-00188599
111,environmental-science,"MSc Climate Change: Environment, Science and Policy",King's College London,"GBP 23,460",https://www.idp.com/global/Categories/King%27s-College-London/MSc-Climate-Change-Environment-Science-and-Policy/p/PRG-UK-00170588
112,environmental-science,MSc Renewable and Sustainable Energy Technologies (with advanced practice ...,Northumbria University,"GBP 19,000",https://www.idp.com/global/Categories/Northumbria-University/MSc-Renewable-and-Sustainable-Energy-Technologies-with-advanced-practice-in-second-year/p/PRG-UK-00238662
113,environmental-science,MSc Pollution and Environmental Control,University of Manchester,"GBP 27,000",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/MSc-Pollution-and-Environmental-Control/p/PRG-UK-00069181
114,environmental-science,Sustainability in Transport MSc,University of Leeds,"GBP 24,000",https://www.idp.com/global/Categories/University-of-Leeds/Sustainability-in-Transport-MSc/p/PRG-UK-00077648
115,environmental-science,Masters of Science in Environmental Assessment and Management,University of East Anglia,"GBP 17,600",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Masters-of-Science-in-Environmental-Assessment-and-Management/p/PRG-UK-00080391
116,environmental-science,MSc - Environmental Protection and Management,University of Edinburgh,"GBP 29,150",https://www.idp.com/global/Categories/University-of-Edinburgh/MSc-Environmental-Protection-and-Management/p/PRG-UK-00083937
117,environmental-science,Corporate Environmental Management MSc,University of Surrey,"GBP 21,000",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Corporate-Environmental-Management-MSc/p/PRG-UK-00067371
118,environmental-science,MSc Sustainability and Environmental Management,Middlesex University,"GBP 14,500",https://www.idp.com/global/Categories/Middlesex-University/MSc-Sustainability-and-Environmental-Management/p/PRG-UK-00209645
119,environmental-science,MSc Mining Environmental Management,University of Exeter,"GBP 22,950",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/MSc-Mining-Environmental-Management/p/PRG-UK-00312186
120,environmental-science,MSc Environmental Policy and Management,University of Bristol,"GBP 23,500",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/MSc-Environmental-Policy-and-Management/p/PRG-UK-00085298
121,environmental-science,Bachelor of Arts in Environmental Humanities,La Trobe University,"AUD 94,200",https://www.idp.com/global/Categories/La-Trobe-University/Bachelor-of-Arts-in-Environmental-Humanities/p/PRG-AU-00362407
122,environmental-science,Wildlife Management MSc,Newcastle University,"GBP 24,300",https://www.idp.com/global/Categories/Newcastle-University/Wildlife-Management-MSc/p/PRG-UK-00108555
123,environmental-science,MSc Renewable Energy and Environmental Modelling,University of Dundee,"GBP 21,950",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/MSc-Renewable-Energy-and-Environmental-Modelling/p/PRG-UK-00093945
124,environmental-science,Bachelor of Environmental Science (Honours) - Ecology and Conservation,The University of Queensland,"AUD 174,016",https://www.idp.com/global/Categories/The-University-of-Queensland/Bachelor-of-Environmental-Science-Honours-Ecology-and-Conservation/p/PRG-AU-00115736
125,environmental-science,Master of Environmental Management - Environmental Management in Mining,The University of Queensland,"AUD 82,080",https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Environmental-Management-Environmental-Management-in-Mining/p/PRG-AU-00158692
