,location,course_link,duration,entry_score,course_qualification,intakes
1825,United States,https://www.idp.com/global/Categories/Art-and-Design/Fine-Art/Bachelor-of-Fine-Arts-in-Art-Graphic-Design/p/PRG-US-00243637,8 Semester(s),6.0 IELTS,Bachelor Degree,['august']
1826,United States,https://www.idp.com/global/Categories/University-of-North-Carolina---Charlotte/Bachelor-of-Fine-Arts-in-Art-Sculpture/p/PRG-US-00243642,8 Semester(s),6.0 IELTS,Bachelor Degree,['august']
1827,United States,https://www.idp.com/global/Categories/Art-and-Design/Fine-Art/Bachelor-of-Fine-Arts-in-Art-Print-Media/p/PRG-US-00243641,8 Semester(s),6.0 IELTS,Bachelor Degree,['august']
1828,United States,https://www.idp.com/global/Categories/University-of-Nebraska---Lincoln/Master-of-Fine-Arts-in-Studio-Art-Graphic-Design/p/PRG-US-00244699,7 Semester(s),6.5 IELTS,Masters Degree,['august']
1829,United States,https://www.idp.com/global/Categories/Art-and-Design/Fine-Art/Bachelor-of-Arts-in-Studio-Art-Painting-and-Drawing/p/PRG-US-00244702,8 Semester(s),,Bachelor Degree,"['january', 'august']"
1830,United States,https://www.idp.com/global/Categories/University-of-Nebraska---Lincoln/Bachelor-of-Arts-in-Graphic-Design/p/PRG-US-00244703,8 Semester(s),,Bachelor Degree,"['january', 'august']"
1831,United States,https://www.idp.com/global/Categories/University-of-Nebraska---Lincoln/Bachelor-of-Fine-Arts-in-Studio-Art-Printmaking/p/PRG-US-00244713,8 Semester(s),,Bachelor Degree,"['january', 'august']"
1832,United States,https://www.idp.com/global/Categories/Art-and-Design/Fine-Art/Bachelor-of-Fine-Arts-in-Graphic-Design/p/PRG-US-00244711,8 Semester(s),,Bachelor Degree,"['january', 'august']"
1833,United States,https://www.idp.com/global/Categories/Art-and-Design/Fine-Art/Bachelor-of-Fine-Arts-in-Studio-Art-Sculpture/p/PRG-US-00244714,8 Semester(s),,Bachelor Degree,"['january', 'august']"
1834,United States,https://www.idp.com/global/Categories/George-Washington-University/Bachelor-of-Arts-in-Fine-Arts/p/PRG-US-00245640,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'august']"
1835,United States,https://www.idp.com/global/Categories/University-of-Rhode-Island/Bachelor-of-Science-in-Business-Administration-Textiles-Fashion-Merchandising-and-DesignBachelor-of-Arts-in-French/p/PRG-US-00246338,10 Semester(s),6.5 IELTS,Double Major Degree,"['january', 'september']"
1836,United States,https://www.idp.com/global/Categories/University-of-Rhode-Island/Bachelor-of-Science-in-Business-Administration-Textile-MarketingBachelor-of-Arts-in-German/p/PRG-US-00246352,10 Semester(s),6.5 IELTS,Double Major Degree,"['january', 'september']"
1837,United States,https://www.idp.com/global/Categories/California-State-University---Long-Beach/Master-of-Fine-Arts-in-Art-Studio-Art/p/PRG-US-00246785,6 Semester(s),6.0 IELTS,Masters Degree,['august']
1838,United States,https://www.idp.com/global/Categories/Art-Center-College-of-Design/Master-of-Fine-Arts-in-Graphic-Design-2-Year/p/PRG-US-00247280,4 Semester(s),7.0 IELTS,Masters Degree,['september']
1839,United States,https://www.idp.com/global/Categories/Art-and-Design/Fine-Art/Master-of-Fine-Arts-in-Studio-Art/p/PRG-US-00247726,6 Semester(s),7.0 IELTS,Masters Degree,['september']
1840,United States,https://www.idp.com/global/Categories/University-of-Texas---Austin/Bachelor-of-Science-in-Arts-and-Entertainment-Technologies/p/PRG-US-00248496,8 Semester(s),6.5 IELTS,Bachelor Degree,['september']
1841,United States,https://www.idp.com/global/Categories/Art-and-Design/Crafts-and-textiles/Bachelor-of-Science-in-Textiles-and-Apparels-Textile-Conservation-and-Museum-Studies/p/PRG-US-00248868,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'june', 'september']"
1842,United States,https://www.idp.com/global/Categories/University-of-South-Dakota/Bachelor-of-Fine-Arts-in-Studio-Art-Printmaking/p/PRG-US-00250237,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'august']"
1843,United States,https://www.idp.com/global/Categories/Robert-Morris-University/Bachelor-of-Fine-Arts-in-Media-Arts-Graphic-Design/p/PRG-US-00250640,8 Semester(s),5.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1844,United States,https://www.idp.com/global/Categories/Art-and-Design/Design-and-Applied-Arts/Bachelor-of-Fine-Arts-in-Media-Arts-Interaction-Design/p/PRG-US-00250642,8 Semester(s),5.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1845,United States,https://www.idp.com/global/Categories/University-of-La-Verne/Bachelor-of-Arts-in-Studio-Art/p/PRG-US-00250811,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'feb', 'august']"
1846,United States,https://www.idp.com/global/Categories/University-of-Miami/Bachelor-of-Fine-Arts-in-Painting-and-Drawing/p/PRG-US-00250946,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'august']"
1847,United States,https://www.idp.com/global/Categories/South-Dakota-State-University/Bachelor-of-Fine-Arts-in-Studio-Arts-Ceramics/p/PRG-US-00251574,8 Semester(s),5.5 IELTS,Bachelor Degree,"['january', 'august']"
1848,United States,https://www.idp.com/global/Categories/California-State-University---Chico/Bachelor-of-Arts-in-Art-Art-Studio/p/PRG-US-00251698,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'august']"
1849,United States,https://www.idp.com/global/Categories/California-State-University---Chico/Bachelor-of-Arts-in-Art-Art-Studio-in-Photography/p/PRG-US-00251707,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'august']"
1850,United States,https://www.idp.com/global/Categories/Art-and-Design/Arts-Management/Bachelor-of-Arts-in-Art-Art-Studio-in-Sculpture/p/PRG-US-00251709,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'august']"
1851,United States,https://www.idp.com/global/Categories/California-State-University---Chico/Bachelor-of-Fine-Arts-in-Art-Art-Studio-in-Ceramics/p/PRG-US-00251720,8 Semester(s),6.0 IELTS,Associate Degree,"['january', 'august']"
1852,United States,https://www.idp.com/global/Categories/California-State-University---Chico/Bachelor-of-Fine-Arts-in-Art-Art-Studio-in-Glass/p/PRG-US-00251722,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'august']"
1853,United States,https://www.idp.com/global/Categories/California-State-University---Chico/Bachelor-of-Fine-Arts-in-Art-Art-Studio-in-Sculpture/p/PRG-US-00251726,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'august']"
