,location,course_link,duration,entry_score,course_qualification,intakes
1211,United Kingdom,https://www.idp.com/global/Categories/Regent%27s-University-London/MSc-Finance-and-Investment-Energy-Trade/p/PRG-UK-00347531,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
1212,Canada,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Ontario-College-Graduate-Certificate-in-Professional-Accounting-Co-op-Option/p/PRG-CA-00348056,1 Year(s),6.5 IELTS,Graduate Certificate,['may']
1213,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Certificate-of-Proficiency-in-Computerized-Accounting/p/PRG-US-00348449,,4.5 IELTS,Advanced Certificate,"['january', 'june', 'august']"
1214,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Master-of-Business-Administration-One-Year-Finance/p/PRG-US-00348568,1 Year(s),6.0 IELTS,Masters Degree,"['january', 'may', 'august']"
1215,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Master-of-Business-Administration-20-Month-Finance/p/PRG-US-00348619,20 Month(s),6.0 IELTS,Masters Degree,"['january', 'may', 'august']"
1216,Canada,https://www.idp.com/global/Categories/Lakehead-University/Graduate-Diploma-in-Accounting/p/PRG-CA-00351492,,6.5 IELTS,Graduate Diploma,"['january', 'may', 'september']"
1217,United Kingdom,https://www.idp.com/global/Categories/Northumbria-University/MSc-Business-with-Financial-Management-with-Advanced-Practice-London-Campus/p/PRG-UK-00349521,16 Month(s),6.5 IELTS,Masters Degree (Taught),"['january', 'may', 'september']"
1218,Canada,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Diploma-in-Business-Administration-Accounting/p/PRG-CA-00349888,2 Year(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'september']"
1219,Canada,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Ontario-College-Diploma-in-Business-Accounting-Winter/p/PRG-CA-00350291,2 Year(s),6.0 IELTS,Bachelor Degree,['january']
1220,Canada,https://www.idp.com/global/Categories/York-University/International-Master-of-Business-Administration-Accounting/p/PRG-CA-00326467,20 Month(s),7.0 IELTS,Masters Degree,['september']
1221,Canada,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/International-Master-of-Business-Administration-Finance/p/PRG-CA-00326484,20 Month(s),7.0 IELTS,Masters Degree,['september']
1222,Canada,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/International-Master-of-Business-Administration-Financial-Services/p/PRG-CA-00326485,20 Month(s),7.0 IELTS,Masters Degree,['september']
1223,Australia,https://www.idp.com/global/Categories/Deakin-University/Master-of-Financial-Planning/p/PRG-AU-00327750,1 Year(s),6.5 IELTS,Masters Degree (Coursework),"['march', 'july', 'november']"
1224,United States,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Master-of-Science-in-Business-Administration/p/PRG-US-00327683,3 Semester(s),6.0 IELTS,Masters Degree,"['january', 'august']"
1225,Canada,https://www.idp.com/global/Categories/Wilfrid-Laurier-University/Doctor-of-Philosophy-in-Management-Accounting/p/PRG-CA-00329211,4 Year(s),7.0 IELTS,Ph.D.,"['january', 'may', 'september']"
1226,Canada,https://www.idp.com/global/Categories/Finance/Banking-and-Finance/Doctor-of-Philosophy-in-Management-Finance/p/PRG-CA-00329212,4 Year(s),7.0 IELTS,Ph.D.,"['january', 'may', 'september']"
