,location,course_link,duration,entry_score,course_qualification,intakes
2249,United Kingdom,https://www.idp.com/global/Categories/De-Montfort-University/Media-Foundation/p/PRG-UK-00279048,1 Year(s),,Foundation for Undergraduate,['september']
2250,United Kingdom,https://www.idp.com/global/Categories/The-Glasgow-School-of-Art/BDes-Hons-Sound-for-the-Moving-Image/p/PRG-UK-00281910,2 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2251,United Kingdom,https://www.idp.com/global/Categories/Middlesex-University/BA-Hons-Creative-Writing-and-Journalism-with-Foundation-Year/p/PRG-UK-00307772,4 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2252,United Kingdom,https://www.idp.com/global/Categories/Middlesex-University/BA-Hons-Television-and-Digital-Production-with-Foundation-Year/p/PRG-UK-00307778,4 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2253,United Kingdom,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/BA-Hons-Television-and-Digital-Production/p/PRG-UK-00307784,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2254,United Kingdom,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/BA-Hons-Media-Communications-and-Culture/p/PRG-UK-00308668,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,['september']
2255,United Kingdom,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/BA-Hons-Media-Production/p/PRG-UK-00308667,3 Year(s),6.5 IELTS,Bachelor Degree with Honours,['september']
2256,United Kingdom,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Advertising/Bachelor-of-Arts-in-Advertising-and-Marketing-Management-Honours/p/PRG-UK-00309267,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2257,United Kingdom,https://www.idp.com/global/Categories/Marketing%2C-Media-and-Communication/Journalism/Broadcast-Journalism-MA/p/PRG-UK-00309285,10 Month(s),7.0 IELTS,Masters Degree (Taught),['september']
2258,United Kingdom,https://www.idp.com/global/Categories/University-of-Westminster/Animation-BA-Honours/p/PRG-UK-00312325,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
