,location,course_link,duration,entry_score,course_qualification,intakes
6448,Australia,https://www.idp.com/global/Categories/Australian-Catholic-University/Bachelor-of-Education-SecondaryBachelor-of-Arts-Mathematics/p/PRG-AU-00371427,4 Year(s),7.5 IELTS,Dual Degree,"['feb', 'july']"
6449,Australia,https://www.idp.com/global/Categories/Australian-Catholic-University/Bachelor-of-Education-SecondaryBachelor-of-Arts-Mathematics-Accelerated/p/PRG-AU-00371425,4 Year(s),7.5 IELTS,Dual Degree,"['feb', 'july']"
6450,New Zealand,https://www.idp.com/global/Categories/Massey-University/Postgraduate-Diploma-in-Arts-Education/p/PRG-NZ-00371774,1 Year(s),6.5 IELTS,Postgraduate Diploma,['feb']
6451,United Kingdom,https://www.idp.com/global/Categories/Northumbria-University/MA-Education-Leadership-and-Management/p/PRG-UK-00372209,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
6452,United Kingdom,https://www.idp.com/global/Categories/Northumbria-University/MA-Education-SENDInclusion/p/PRG-UK-00372243,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
6453,United Kingdom,https://www.idp.com/global/Categories/Northumbria-University/MA-Education-SENDInclusion/p/PRG-UK-00372245,1 Year(s),6.5 IELTS,Masters Degree (Taught),['january']
6454,United Kingdom,https://www.idp.com/global/Categories/University-of-Huddersfield/BAHons-Early-Childhood-Education-and-Care/p/PRG-UK-00372393,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
6455,United Kingdom,https://www.idp.com/global/Categories/University-of-Huddersfield/BA-Hons-Education-with-Psychology/p/PRG-UK-00372398,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
6456,Canada,https://www.idp.com/global/Categories/Selkirk-College/Diploma-in-Early-Childhood-Care-and-Education/p/PRG-CA-00372478,24 Month(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'september']"
6457,United Kingdom,https://www.idp.com/global/Categories/University-of-Huddersfield/BA-Hons-Primary-Education-Studies-Non-QTS-Accelerated/p/PRG-UK-00372480,2 Year(s),7.0 IELTS,Bachelor Degree with Honours,['september']
6458,Australia,https://www.idp.com/global/Categories/Victoria-University/Diploma-of-Sport/p/PRG-AU-00372628,1 Year(s),,Diploma,['feb']
6459,United Kingdom,https://www.idp.com/global/Categories/Queen%27s-University-Belfast/PgCert-International-Postgraduate-Certificate-in-Education/p/PRG-UK-00372580,1 Year(s),6.5 IELTS,Graduate Certificate,['september']
6460,United States,https://www.idp.com/global/Categories/University-of-Mississippi---Shorelight/Certification-in-TESOL/p/PRG-US-00372599,2 Semester(s),6.0 IELTS,Graduate Certificate,"['january', 'may', 'august']"
6461,United States,https://www.idp.com/global/Categories/University-of-Mississippi---Shorelight/Certificate-in-Program-Evaluation/p/PRG-US-00372686,2 Semester(s),6.0 IELTS,Graduate Certificate,"['january', 'may', 'august']"
6462,United States,https://www.idp.com/global/Categories/University-of-Mississippi---Shorelight/Master-of-Education-in-Educational-Leadership/p/PRG-US-00372690,3 Semester(s),6.0 IELTS,Masters Degree,"['january', 'may', 'august']"
6463,United States,https://www.idp.com/global/Categories/University-of-Mississippi---Shorelight/Master-of-Arts-in-Higher-Education-and-Student-Personnel/p/PRG-US-00372684,3 Semester(s),6.0 IELTS,Masters Degree,"['january', 'may', 'august']"
6464,United States,https://www.idp.com/global/Categories/University-of-Mississippi---Shorelight/Master-of-Education-in-Curriculum-and-Instruction-Elementary-Education/p/PRG-US-00372694,3 Semester(s),6.0 IELTS,Masters Degree,"['january', 'may', 'august']"
6465,United States,https://www.idp.com/global/Categories/University-of-Mississippi---Shorelight/Certificate-in-Emotional-Disability-Special-Education/p/PRG-US-00372691,1 Semester(s),6.0 IELTS,Graduate Certificate,"['january', 'may', 'august']"
6466,United States,https://www.idp.com/global/Categories/University-of-Mississippi---Shorelight/Master-of-Education-in-Curriculum-and-Instruction-Secondary-Education/p/PRG-US-00372695,3 Semester(s),6.0 IELTS,Masters Degree,"['january', 'may', 'august']"
6467,United States,https://www.idp.com/global/Categories/University-of-Mississippi---Shorelight/Master-of-Education-in-Curriculum-and-Instruction-Special-Education/p/PRG-US-00372696,3 Semester(s),6.0 IELTS,Masters Degree,"['january', 'may', 'august']"
6468,United States,https://www.idp.com/global/Categories/University-of-Mississippi---Shorelight/Master-of-Arts-in-Teaching/p/PRG-US-00372707,3 Semester(s),6.0 IELTS,Masters Degree,"['january', 'may', 'august']"
6469,United States,https://www.idp.com/global/Categories/University-of-Mississippi---Shorelight/Master-of-Education-in-Literacy-Education/p/PRG-US-00372732,3 Semester(s),6.0 IELTS,Masters Degree,"['january', 'may', 'august']"
