,area of study,course_name,university_name,course_fee,course_link
125,information-science-and-librarianship,Bachelor of Arts in Liberal Studies (Columbia),University of South Carolina - Shorelight,"USD 140,632",https://www.idp.com/global/Categories/University-of-South-Carolina---Shorelight/Bachelor-of-Arts-in-Liberal-Studies-Columbia/p/PRG-US-00176708
126,information-science-and-librarianship,Associate in Arts (Union),University of South Carolina - Shorelight,"USD 70,316",https://www.idp.com/global/Categories/University-of-South-Carolina---Shorelight/Associate-in-Arts-Union/p/PRG-US-00176939
127,information-science-and-librarianship,Bachelor of Arts in Liberal Arts and Sciences in Interdisciplinary Studies...,University of Illinois - Urbana-Champaign,"USD 128,376",https://www.idp.com/global/Categories/University-of-Illinois---Urbana-Champaign/Bachelor-of-Arts-in-Liberal-Arts-and-Sciences-in-Interdisciplinary-Studies-Jewish-Studies/p/PRG-US-00179043
128,information-science-and-librarianship,Master of Arts in Interdisciplinary Studies,Texas Tech University,"USD 35,060",https://www.idp.com/global/Categories/Texas-Tech-University/Master-of-Arts-in-Interdisciplinary-Studies/p/PRG-US-00189119
129,information-science-and-librarianship,Bachelor of Science in Interdisciplinary Studies,Minnesota State University - Mankato,"USD 62,746",https://www.idp.com/global/Categories/Minnesota-State-University---Mankato/Bachelor-of-Science-in-Interdisciplinary-Studies/p/PRG-US-00192621
130,information-science-and-librarianship,Bachelor of Arts in General Arts,University of Northern British Columbia,"CAD 88,084",https://www.idp.com/global/Categories/University-of-Northern-British-Columbia/Bachelor-of-Arts-in-General-Arts/p/PRG-CA-00149960
131,information-science-and-librarianship,Bachelor of Arts in Liberal Arts,Bishop's University,"CAD 98,000",https://www.idp.com/global/Categories/Information-Science-and-Librarianship/Liberal-Arts-and-Sciences/Bachelor-of-Arts-in-Liberal-Arts/p/PRG-CA-00151189
132,information-science-and-librarianship,Ontario College Certificate in General Arts and Science - Shki Miikan (New...,Georgian College,"CAD 16,540",https://www.idp.com/global/Categories/Georgian-College/Ontario-College-Certificate-in-General-Arts-and-Science-Shki-Miikan-New-Road/p/PRG-CA-00158469
133,information-science-and-librarianship,Master of Science in Interdisciplinary Studies,University of Saskatchewan,"CAD 13,462",https://www.idp.com/global/Categories/University-of-Saskatchewan/Master-of-Science-in-Interdisciplinary-Studies/p/PRG-CA-00165677
134,information-science-and-librarianship,Master of Arts in Interdisciplinary Studies,University of Saskatchewan,"CAD 13,462",https://www.idp.com/global/Categories/University-of-Saskatchewan/Master-of-Arts-in-Interdisciplinary-Studies/p/PRG-CA-00165679
135,information-science-and-librarianship,Bachelor of Arts in Liberal Arts (Honours),McGill University,"CAD 86,000",https://www.idp.com/global/Categories/Information-Science-and-Librarianship/Liberal-Arts-and-Sciences/Bachelor-of-Arts-in-Liberal-Arts-Honours/p/PRG-CA-00166037
136,information-science-and-librarianship,Bachelor of Arts in Liberal Arts,McGill University,"CAD 86,000",https://www.idp.com/global/Categories/McGill-University/Bachelor-of-Arts-in-Liberal-Arts/p/PRG-CA-00166038
137,information-science-and-librarianship,PhD Museology,University of Manchester,"GBP 57,000",https://www.idp.com/global/Categories/University-of-Manchester/PhD-Museology/p/PRG-UK-00101341
138,information-science-and-librarianship,MPhil/PhD Archives and Records Management,University of Liverpool,"GBP 54,000",https://www.idp.com/global/Categories/University-of-Liverpool/MPhilPhD-Archives-and-Records-Management/p/PRG-UK-00101933
139,information-science-and-librarianship,Master of Fine Arts in Interdisciplinary Studies,University of Regina,"CAD 26,594",https://www.idp.com/global/Categories/University-of-Regina/Master-of-Fine-Arts-in-Interdisciplinary-Studies/p/PRG-CA-00176088
140,information-science-and-librarianship,Master of Science in Library and Information Science (Public Librarianship...,Long Island University - C.W. Post,"USD 34,398",https://www.idp.com/global/Categories/Long-Island-University---C-W-Post/Master-of-Science-in-Library-and-Information-Science-Public-Librarianship/p/PRG-US-00279593
141,information-science-and-librarianship,Bachelor of Applied Science in Interdisciplinary Studies - Social Justice,Lakehead University,"CAD 100,000",https://www.idp.com/global/Categories/Lakehead-University/Bachelor-of-Applied-Science-in-Interdisciplinary-Studies-Social-Justice/p/PRG-CA-00285340
142,information-science-and-librarianship,Bachelor of Applied Science (Honours) and Bachelor of Education in Interdi...,Lakehead University,"CAD 150,000",https://www.idp.com/global/Categories/Lakehead-University/Bachelor-of-Applied-Science-Honours-and-Bachelor-of-Education-in-Interdisciplinary-Studies-Social-Justice-PrimaryJunior/p/PRG-CA-00285363
143,information-science-and-librarianship,Bachelor of Applied Science and Bachelor of Education in Interdisciplinary...,Lakehead University,"CAD 125,000",https://www.idp.com/global/Categories/Lakehead-University/Bachelor-of-Applied-Science-and-Bachelor-of-Education-in-Interdisciplinary-Studies-PrimaryJunior/p/PRG-CA-00285365
144,information-science-and-librarianship,Diploma in Liberal Arts,Douglas College,"CAD 36,000",https://www.idp.com/global/Categories/Information-Science-and-Librarianship/Liberal-Arts-and-Sciences/Diploma-in-Liberal-Arts/p/PRG-CA-00199336
145,information-science-and-librarianship,Bachelor of Applied Science in Interdisciplinary Studies,Lakehead University,"CAD 100,000",https://www.idp.com/global/Categories/Lakehead-University/Bachelor-of-Applied-Science-in-Interdisciplinary-Studies/p/PRG-CA-00216682
146,information-science-and-librarianship,Bachelor of Arts - Year 1,Thompson Rivers University,"CAD 17,824",https://www.idp.com/global/Categories/Thompson-Rivers-University/Bachelor-of-Arts-Year-1/p/PRG-CA-00220399
147,information-science-and-librarianship,Ontario College Diploma in Liberal Arts,St. Clair College,"CAD 30,732",https://www.idp.com/global/Categories/St-Clair-College/Ontario-College-Diploma-in-Liberal-Arts/p/PRG-CA-00225680
148,information-science-and-librarianship,Certificate in General Arts and Science - Science And Engineering Preparat...,Durham College,"CAD 13,322",https://www.idp.com/global/Categories/Information-Science-and-Librarianship/General-Studies/Certificate-in-General-Arts-and-Science-Science-And-Engineering-Preparation-Uoit-Transfer/p/PRG-CA-00249350
149,information-science-and-librarianship,Bachelor of Arts,Cape Breton University,"CAD 48,240",https://www.idp.com/global/Categories/Cape-Breton-University/Bachelor-of-Arts/p/PRG-CA-00251166
150,information-science-and-librarianship,Bachelor of Arts (Honours) in Liberal Arts,Bishop's University,"CAD 98,000",https://www.idp.com/global/Categories/Bishop%27s-University/Bachelor-of-Arts-Honours-in-Liberal-Arts/p/PRG-CA-00259281
151,information-science-and-librarianship,Bachelor of Arts in General Arts,University of Northern British Columbia,"CAD 88,084",https://www.idp.com/global/Categories/University-of-Northern-British-Columbia/Bachelor-of-Arts-in-General-Arts/p/PRG-CA-00149960
