,location,course_link,duration,entry_score,course_qualification,intakes
2809,United States,https://www.idp.com/global/Categories/Building-and-Architecture/Construction-Management/Bachelor-of-Fine-Arts-in-Metalsmithing/p/PRG-US-00286479,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'august']"
2810,United States,https://www.idp.com/global/Categories/Building-and-Architecture/Interior-Design/Master-of-Interior-Design/p/PRG-US-00287154,4 Semester(s),7.0 IELTS,Masters Degree,['august']
2811,United States,https://www.idp.com/global/Categories/Academy-of-Art-University/Master-of-Architecture-Track-II/p/PRG-US-00287228,8 Semester(s),,Masters Degree,"['feb', 'june', 'september']"
2812,United States,https://www.idp.com/global/Categories/Building-and-Architecture/Architecture/Master-of-Arts-in-Advanced-Architectural-Design-Track-II/p/PRG-US-00287231,5 Semester(s),,Masters Degree,"['feb', 'june', 'september']"
2813,United States,https://www.idp.com/global/Categories/Ball-State-University/Master-of-Architecture-3-Year/p/PRG-US-00288672,6 Semester(s),6.5 IELTS,Professional Masters Degree,['august']
2814,United States,https://www.idp.com/global/Categories/University-of-Colorado---Denver/Graduate-Certificate-in-Integrated-Construction-Management-and-Leadership/p/PRG-US-00289984,1 Semester(s),6.5 IELTS,Graduate Certificate,"['january', 'june', 'august']"
2815,Australia,https://www.idp.com/global/Categories/Building-and-Architecture/Construction-Management/Graduate-Diploma-in-Construction-Practice/p/PRG-AU-00187644,8 Month(s),6.5 IELTS,Graduate Diploma,"['january', 'may', 'september']"
2816,Australia,https://www.idp.com/global/Categories/Deakin-College/Diploma-of-Construction-Management/p/PRG-AU-00292002,8 Month(s),,Diploma,"['march', 'june', 'october']"
2817,Australia,https://www.idp.com/global/Categories/Building-and-Architecture/Graduate-Diploma-in-Building-Information-Modelling-and-Integrated-Project-Delivery/p/PRG-AU-00330551,8 Month(s),6.5 IELTS,Graduate Certificate,"['january', 'may', 'september']"
2818,Australia,https://www.idp.com/global/Categories/Building-and-Architecture/Planning/Diploma-of-Built-Environment-Stage-II-Urban-and-Regional-Planning/p/PRG-AU-00334398,1 Year(s),,Diploma,"['feb', 'june']"
2819,Australia,https://www.idp.com/global/Categories/Building-and-Architecture/Urban-planning/Master-of-Planning-2-years/p/PRG-AU-00334738,2 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
2820,Australia,https://www.idp.com/global/Categories/Building-and-Architecture/Urban-planning/Master-of-Planning-15-years-with-a-specialisation-in-Social-Policy-and-Planning/p/PRG-AU-00334785,1 Year(s),6.5 IELTS,Masters Degree (Coursework),"['feb', 'july']"
2821,Australia,https://www.idp.com/global/Categories/Stott%27s-College/Advanced-Diploma-of-Civil-Construction-Design/p/PRG-AU-00369702,2 Year(s),,Advanced Diploma,"['january', 'april', 'july', 'september']"
2822,Australia,https://www.idp.com/global/Categories/Curtin-College/Diploma-of-Built-Environment-Stage-I-Architecture-and-Interior-Architecture/p/PRG-AU-00368581,8 Month(s),,Diploma,"['feb', 'june', 'october']"
2823,Australia,https://www.idp.com/global/Categories/Curtin-College/Diploma-of-Built-Environment-Stage-I-Urban-and-Regional-Planning/p/PRG-AU-00368585,8 Month(s),,Diploma,"['feb', 'june', 'october']"
2824,Canada,https://www.idp.com/global/Categories/Assiniboine-Community-College/Certificate-in-Piping-Trades/p/PRG-CA-00357631,9 Month(s),6.5 IELTS,Bachelor Degree,['september']
2825,New Zealand,https://www.idp.com/global/Categories/Wellington-Institute-of-Technology/New-Zealand-Diploma-in-Construction-Level-6-Construction-Management/p/PRG-NZ-00074586,2 Year(s),,Diploma level 6,['march']
2826,New Zealand,https://www.idp.com/global/Categories/Nelson-Marlborough-Institute-of-Technology/New-Zealand-Certificate-in-Construction-Trade-Skill-Carpentry/p/PRG-NZ-00262581,40 Week(s),,Certificate level 3,['feb']
2827,New Zealand,https://www.idp.com/global/Categories/Wellington-Institute-of-Technology/Graduate-Diploma-in-Engineering-Level-7-Building-Services/p/PRG-NZ-00375128,1 Year(s),,(Graduate) Diploma level 7,['july']
2828,United Kingdom,https://www.idp.com/global/Categories/University-of-Glasgow/Housing-Studies-MScPgDip/p/PRG-UK-00066680,1 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
2829,United Kingdom,https://www.idp.com/global/Categories/Birmingham-City-University/BSc-Hons-Quantity-Surveying/p/PRG-UK-00067457,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2830,United Kingdom,https://www.idp.com/global/Categories/Birmingham-City-University/BSc-Hons-Quantity-Surveying/p/PRG-UK-00067457,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2831,United Kingdom,https://www.idp.com/global/Categories/Building-and-Architecture/Surveying/BSc-Hons-Building-Surveying/p/PRG-UK-00067459,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2832,United Kingdom,https://www.idp.com/global/Categories/Cardiff-University/PhDMPhil-in-Architecture-Architectural-History-and-Theory/p/PRG-UK-00069977,3 Year(s),6.5 IELTS,Ph.D.,"['april', 'october']"
2833,United Kingdom,https://www.idp.com/global/Categories/Aston-University/BSc-Hons-Construction-Project-Management/p/PRG-UK-00071166,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2834,United Kingdom,https://www.idp.com/global/Categories/University-of-South-Wales/MSc-Construction-Project-Management-September-Start/p/PRG-UK-00072474,1 Year(s),6.0 IELTS,Masters Degree (Taught),['september']
2835,United Kingdom,https://www.idp.com/global/Categories/University-of-South-Wales/BA-Hons-Interior-Design/p/PRG-UK-00072617,3 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
2836,United Kingdom,https://www.idp.com/global/Categories/Heriot-Watt-University/BA-Hons-Interior-Design/p/PRG-UK-00076933,4 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
