,area of study,course_name,university_name,course_fee,course_link
788,building-and-architecture,Bachelor of Arts in Interior Design,"California State University, Fresno","USD 70,488",https://www.idp.com/global/Categories/California-State-University%2C-Fresno/Bachelor-of-Arts-in-Interior-Design/p/PRG-US-00051310
789,building-and-architecture,Juris Doctor / Master of Urban Planning,New York University,"USD 133,920",https://www.idp.com/global/Categories/Building-and-Architecture/Urban-planning/Juris-Doctor-Master-of-Urban-Planning/p/PRG-US-00054720
790,building-and-architecture,Doctor of Philosophy in Architecture,Columbia University,"USD 147,072",https://www.idp.com/global/Categories/Building-and-Architecture/Architecture/Doctor-of-Philosophy-in-Architecture/p/PRG-US-00057041
791,building-and-architecture,Bachelor of Science in Building Science,Auburn University - Shorelight,"USD 120,960",https://www.idp.com/global/Categories/Auburn-University---Shorelight/Bachelor-of-Science-in-Building-Science/p/PRG-US-00160561
792,building-and-architecture,Bachelor of Science in Environmental Design,Auburn University - Shorelight,"USD 120,960",https://www.idp.com/global/Categories/Auburn-University---Shorelight/Bachelor-of-Science-in-Environmental-Design/p/PRG-US-00160563
793,building-and-architecture,Bachelor of Science in Industrial Design,Auburn University - Shorelight,"USD 136,080",https://www.idp.com/global/Categories/Building-and-Architecture/Architecture/Bachelor-of-Science-in-Industrial-Design/p/PRG-US-00160637
794,building-and-architecture,Bachelor of Science in Interior Design,Auburn University - Shorelight,"USD 120,960",https://www.idp.com/global/Categories/Auburn-University---Shorelight/Bachelor-of-Science-in-Interior-Design/p/PRG-US-00160702
795,building-and-architecture,Bachelor of Architecture,Louisiana State University - Shorelight,"USD 114,556",https://www.idp.com/global/Categories/Louisiana-State-University---Shorelight/Bachelor-of-Architecture/p/PRG-US-00176148
796,building-and-architecture,Bachelor of Science in Construction Management,Louisiana State University - Shorelight,"USD 114,556",https://www.idp.com/global/Categories/Louisiana-State-University---Shorelight/Bachelor-of-Science-in-Construction-Management/p/PRG-US-00176204
797,building-and-architecture,Master of Architecture,Louisiana State University - Shorelight,"USD 58,912",https://www.idp.com/global/Categories/Louisiana-State-University---Shorelight/Master-of-Architecture/p/PRG-US-00176423
798,building-and-architecture,Master of Science in Architecture - General,University of Arizona,"USD 33,600",https://www.idp.com/global/Categories/University-of-Arizona/Master-of-Science-in-Architecture-General/p/PRG-US-00177006
799,building-and-architecture,Bachelor of Science in Sustainable Built Environments - Sustainable Buildi...,University of Arizona,"USD 146,400",https://www.idp.com/global/Categories/Building-and-Architecture/Building-economics/Bachelor-of-Science-in-Sustainable-Built-Environments-Sustainable-Buildings/p/PRG-US-00178116
800,building-and-architecture,Bachelor of Science in Sustainable Built Environments - Sustainable Landsc...,University of Arizona,"USD 146,400",https://www.idp.com/global/Categories/Building-and-Architecture/Landscape-design-and-architecture/Bachelor-of-Science-in-Sustainable-Built-Environments-Sustainable-Landscapes/p/PRG-US-00178118
801,building-and-architecture,Master of Science in Geospatial Systems Engineering,Texas A and M University - Corpus Christi,"USD 23,323",https://www.idp.com/global/Categories/Building-and-Architecture/Surveying/Master-of-Science-in-Geospatial-Systems-Engineering/p/PRG-US-00185811
802,building-and-architecture,Bachelor of Science in Architecture,Tulane University,"USD 228,200",https://www.idp.com/global/Categories/Tulane-University/Bachelor-of-Science-in-Architecture/p/PRG-US-00192296
803,building-and-architecture,Bachelor of Science in Construction Management,Minnesota State University - Mankato,"USD 62,746",https://www.idp.com/global/Categories/Building-and-Architecture/Construction-Management/Bachelor-of-Science-in-Construction-Management/p/PRG-US-00192390
