,area of study,course_name,university_name,course_fee,course_link
5154,economics,BSc (Hons) Economics and Econometrics,University of York,"GBP 55,050",https://www.idp.com/global/Categories/University-of-York/BSc-Hons-Economics-and-Econometrics/p/PRG-UK-00111989
5155,economics,BSc (Hons) Economics with a Placement Year,Manchester Metropolitan University,"GBP 64,000",https://www.idp.com/global/Categories/Manchester-Metropolitan-University/BSc-Hons-Economics-with-a-Placement-Year/p/PRG-UK-00159025
5156,economics,Economics Foundation Year,Manchester Metropolitan University,"GBP 17,000",https://www.idp.com/global/Categories/Manchester-Metropolitan-University/Economics-Foundation-Year/p/PRG-UK-00212197
5157,economics,BA (Hons) Mathematics and Philosophy,University of York,"GBP 55,050",https://www.idp.com/global/Categories/University-of-York/BA-Hons-Mathematics-and-Philosophy/p/PRG-UK-00233622
5158,economics,Bachelor of Arts in Child and Family Studies (Major),Nipissing University,"CAD 77,300",https://www.idp.com/global/Categories/Nipissing-University/Bachelor-of-Arts-in-Child-and-Family-Studies-Major/p/PRG-CA-00368194
5159,economics,Bachelor of Arts in Child and Family Studies (Honours Specialization),Nipissing University,"CAD 77,300",https://www.idp.com/global/Categories/Nipissing-University/Bachelor-of-Arts-in-Child-and-Family-Studies-Honours-Specialization/p/PRG-CA-00368197
5160,economics,Bachelor of Arts in Economics (Major),Nipissing University,"CAD 77,300",https://www.idp.com/global/Categories/Nipissing-University/Bachelor-of-Arts-in-Economics-Major/p/PRG-CA-00368259
5161,economics,Bachelor of Arts in Mathematics (Major),Nipissing University,"CAD 57,975",https://www.idp.com/global/Categories/Nipissing-University/Bachelor-of-Arts-in-Mathematics-Major/p/PRG-CA-00368430
5162,economics,Bachelor of Arts in Mathematics (Honours Specialization),Nipissing University,"CAD 77,300",https://www.idp.com/global/Categories/Nipissing-University/Bachelor-of-Arts-in-Mathematics-Honours-Specialization/p/PRG-CA-00368432
5163,economics,Bachelor of Arts in Mathematics (Major) in Applied Mathematics,Nipissing University,"CAD 77,300",https://www.idp.com/global/Categories/Nipissing-University/Bachelor-of-Arts-in-Mathematics-Major-in-Applied-Mathematics/p/PRG-CA-00368437
