,location,course_link,duration,entry_score,course_qualification,intakes
7669,United States,https://www.idp.com/global/Categories/Old-Dominion-University/Bachelor-of-Arts-Economics/p/PRG-US-00256086,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
7670,United States,https://www.idp.com/global/Categories/Old-Dominion-University/Bachelor-of-Arts-in-Economics-to-Master-of-Business-Administration/p/PRG-US-00256088,10 Semester(s),6.5 IELTS,Combined Baccalaureate and Master's Prog,"['january', 'may', 'august']"
7671,United States,https://www.idp.com/global/Categories/Northern-Arizona-University/Undergraduate-Certificate-in-Business-Economics/p/PRG-US-00256100,1 Semester(s),6.0 IELTS,Advanced Certificate,"['january', 'may']"
7672,United States,https://www.idp.com/global/Categories/Old-Dominion-University/Bachelor-of-Science-In-Occupational-and-Technical-Studies-Fashion-Merchandising/p/PRG-US-00256098,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
7673,United States,https://www.idp.com/global/Categories/Georgia-Institute-of-Technology/Bachelor-of-Science-in-Mathematics-Probability-and-Statistics/p/PRG-US-00256254,4 Year(s),6.0 IELTS,Bachelor Degree,"['june', 'august']"
7674,United States,https://www.idp.com/global/Categories/Old-Dominion-University/Master-of-Science-in-Education-Secondary-Education-6-12-with-Initial-Licensure/p/PRG-US-00256297,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'may', 'august']"
7675,United States,https://www.idp.com/global/Categories/Economics/Family-and-Consumer-Sciences/Master-of-Science-in-Education-Elementary-Education-Pre-K-6-Initial-Licensure/p/PRG-US-00256294,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'may', 'august']"
7676,United States,https://www.idp.com/global/Categories/University-of-Memphis/Bachelor-of-Professional-Studies-Early-Intervention-Specialist/p/PRG-US-00256329,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'june', 'august']"
7677,United States,https://www.idp.com/global/Categories/Georgia-Institute-of-Technology/Master-of-Science-in-Analytics-Business-Analytics/p/PRG-US-00256361,1 Year(s),7.5 IELTS,Masters Degree,['august']
7678,United States,https://www.idp.com/global/Categories/Economics/Mathematics/Bachelor-of-Science-in-Interdisciplinary-Science-Mathematics/p/PRG-US-00256790,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
7679,United States,https://www.idp.com/global/Categories/Purdue-University---West-Lafayette/Bachelor-of-Science-in-Mathematics-Computer-Science/p/PRG-US-00256857,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
7680,United States,https://www.idp.com/global/Categories/University-of-Chicago/Bachelor-of-ScienceMaster-of-Science-in-Statistics/p/PRG-US-00257321,8 Semester(s),7.0 IELTS,Combined Baccalaureate and Master's Prog,['september']
7681,United States,https://www.idp.com/global/Categories/University-of-Texas---Dallas/Graduate-Certificate-in-New-Venture-Entrepreneurship/p/PRG-US-00257345,1 Semester(s),6.5 IELTS,Graduate Certificate,"['january', 'may', 'august']"
7682,United States,https://www.idp.com/global/Categories/Economics/Business-Economics/Master-of-Business-Administration-Entrepreneurship/p/PRG-US-00257549,21 Month(s),7.0 IELTS,Masters Degree,['september']
7683,United States,https://www.idp.com/global/Categories/University-of-Chicago/Master-of-Business-Administration-Managerial-and-Organizational-Behavior/p/PRG-US-00257556,21 Month(s),7.0 IELTS,Masters Degree,['september']
7684,United States,https://www.idp.com/global/Categories/Economics/Mathematics/Bachelor-of-Arts-in-Mathematical-Sciences-Mathematics/p/PRG-US-00257706,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
7685,United States,https://www.idp.com/global/Categories/Texas-A-and-M-University---College-Station/Bachelor-of-Arts-in-Economics-Master-of-International-Affairs/p/PRG-US-00257776,5 Year(s),,Combined Baccalaureate and Master's Prog,"['january', 'august']"
7686,United States,https://www.idp.com/global/Categories/Texas-A-and-M-University---College-Station/Bachelor-of-Arts-in-Economics-Master-of-Public-Service-Administration/p/PRG-US-00257777,5 Year(s),,Combined Baccalaureate and Master's Prog,"['january', 'august']"
7687,United States,https://www.idp.com/global/Categories/Texas-A-and-M-University---College-Station/Bachelor-of-Science-in-Economics-Master-of-Public-Service-Administration/p/PRG-US-00257779,5 Year(s),,Combined Baccalaureate and Master's Prog,"['january', 'august']"
7688,United States,https://www.idp.com/global/Categories/University-of-Missouri/Master-of-Science-in-Human-Development-and-Family-Studies/p/PRG-US-00257898,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
7689,United States,https://www.idp.com/global/Categories/University-of-Nevada%2C-Las-Vegas/Master-of-Science-in-Applied-Economics-and-Data-Intelligence/p/PRG-US-00257907,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
7690,United States,https://www.idp.com/global/Categories/University-of-Chicago/Master-of-Business-Administration-Managerial-and-Organizational-Behavior/p/PRG-US-00257556,21 Month(s),7.0 IELTS,Masters Degree,['september']
