,location,course_link,duration,entry_score,course_qualification,intakes
326,Australia,https://www.idp.com/global/Categories/EQUALS-International-Pty-Ltd/Certificate-III-in-Individual-Support-Ageing/p/PRG-AU-00297236,1 Year(s),,Certificate III,"['january', 'may', 'september']"
327,Australia,https://www.idp.com/global/Categories/RMIT-University/Bachelor-of-Youth-Work-and-Youth-Studies/p/PRG-AU-00303014,3 Year(s),6.5 IELTS,Bachelor Degree,"['feb', 'march', 'june', 'july']"
328,Australia,https://www.idp.com/global/Categories/The-University-of-Newcastle/Doctor-of-Philosophy-Gerontology-and-Geriatrics/p/PRG-AU-00302945,4 Year(s),7.0 IELTS,Ph.D.,['december']
329,Australia,https://www.idp.com/global/Categories/The-University-of-Newcastle/Master-of-Philosophy-Disaster-Management/p/PRG-AU-00302961,2 Year(s),6.5 IELTS,Masters Degree (Research),['december']
330,Canada,https://www.idp.com/global/Categories/Georgian-College/Ontario-College-Advanced-Diploma-in-Child-and-Youth-Care/p/PRG-CA-00208389,3 Year(s),,Bachelor Degree,"['january', 'september']"
331,Canada,https://www.idp.com/global/Categories/St-Clair-College/Ontario-College-Advanced-Diploma-in-Child-and-Youth-Care/p/PRG-CA-00225823,3 Year(s),5.5 IELTS,Bachelor Degree,['september']
332,Canada,https://www.idp.com/global/Categories/Douglas-College/Bachelor-of-Arts-in-Child-and-Youth-Care/p/PRG-CA-00245714,8 Semester(s),6.5 IELTS,Bachelor Degree,['september']
333,New Zealand,https://www.idp.com/global/Categories/Otago-Polytechnic/Bachelor-of-Social-Services-with-specialties-in-Career-Practice-Counselling-Disability-Support-and-Coordination-or-Mental-Health-Support/p/PRG-NZ-00109470,3 Year(s),6.5 IELTS,Bachelor Degree,['feb']
334,New Zealand,https://www.idp.com/global/Categories/AUT/Bachelor-of-Arts-New-Zealand-Sign-Language-and-Deaf-Studies/p/PRG-NZ-00192178,3 Year(s),6.0 IELTS,Bachelor Degree,"['march', 'july']"
335,New Zealand,https://www.idp.com/global/Categories/University-of-Canterbury/Graduate-Diploma-in-Arts-in-Human-Services/p/PRG-NZ-00194157,1 Year(s),,(Graduate) Diploma level 7,"['feb', 'july']"
336,New Zealand,https://www.idp.com/global/Categories/Ara-Institute-of-Canterbury-Limited/New-Zealand-Certificate-in-Skills-for-Living-for-Supported-Learners-with-optional-strand-in-Skills-for-WorkingLevel-1/p/PRG-NZ-00236568,1 Year(s),,Certificate level 1,['feb']
337,Australia,https://www.idp.com/global/Categories/Deakin-University/Graduate-Certificate-of-Humanitarian-Leadership-online/p/PRG-AU-00358639,1 Year(s),6.5 IELTS,Graduate Certificate,"['july', 'november']"
338,Ireland,https://www.idp.com/global/Categories/Dublin-City-University/International-Master-in-Security-Intelligence-and-Strategic-Studies/p/PRG-IE-00358902,2 Year(s),6.5 IELTS,Masters Degree (Taught),['september']
339,Australia,https://www.idp.com/global/Categories/Flinders-University/Bachelor-of-Disability-and-Developmental-Education-Honours/p/PRG-AU-00364340,4 Year(s),,Bachelor Degree with Honours,"['march', 'july']"
