,location,course_link,duration,entry_score,course_qualification,intakes
8327,United States,https://www.idp.com/global/Categories/The-Catholic-University-of-America/Bachelor-of-Civil-Engineering/p/PRG-US-00048148,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'august']"
8328,United States,https://www.idp.com/global/Categories/University-of-Rochester/Doctor-of-Philosophy-in-Biomedical-EngineeringDoctor-of-Medicine/p/PRG-US-00048158,10 Semester(s),7.0 IELTS,Double Major Degree,['august']
8329,United States,https://www.idp.com/global/Categories/Old-Dominion-University/Doctor-of-Engineering-in-Engineering-Management-and-Systems-Engineering/p/PRG-US-00048160,6 Semester(s),6.5 IELTS,Ph.D.,"['january', 'may', 'august']"
8330,United States,https://www.idp.com/global/Categories/Old-Dominion-University/Bachelor-of-Science-In-Occupational-and-Technical-Studies/p/PRG-US-00048301,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
8331,United States,https://www.idp.com/global/Categories/Worcester-Polytechnic-Institute/Doctor-of-Philosophy-in-Robotics-Engineering/p/PRG-US-00048403,10 Semester(s),7.0 IELTS,Ph.D.,"['january', 'august']"
8332,United States,https://www.idp.com/global/Categories/Worcester-Polytechnic-Institute/Bachelor-of-Science-in-Robotics-Engineering/p/PRG-US-00048459,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'august']"
8333,United States,https://www.idp.com/global/Categories/Montana-State-University/Associate-of-Applied-Science-in-Aviation/p/PRG-US-00048538,4 Semester(s),6.0 IELTS,Associate Degree,"['january', 'may', 'july', 'august']"
8334,United States,https://www.idp.com/global/Categories/Clemson-University/Master-of-Engineering-in-Electrical-Engineering/p/PRG-US-00048598,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'may', 'august']"
8335,United States,https://www.idp.com/global/Categories/Engineering/Engineering-Science/Doctor-of-Philosophy-in-Engineering-and-Science-Education/p/PRG-US-00048597,6 Semester(s),6.5 IELTS,Ph.D.,"['january', 'may', 'august']"
8336,United States,https://www.idp.com/global/Categories/University-of-Alabama/Bachelor-of-Science-in-Electrical-Engineering/p/PRG-US-00048687,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
