,area of study,course_name,university_name,course_fee,course_link
6714,performing-arts-and-music,Master of Music in Performance - Choral Conducting,Florida State University,"USD 33,405",https://www.idp.com/global/Categories/Florida-State-University/Master-of-Music-in-Performance-Choral-Conducting/p/PRG-US-00229535
6715,performing-arts-and-music,Doctor of Philosophy in Music - Musical Composition,University of Pennsylvania,"USD 150,712",https://www.idp.com/global/Categories/University-of-Pennsylvania/Doctor-of-Philosophy-in-Music-Musical-Composition/p/PRG-US-00229541
6716,performing-arts-and-music,Doctor of Philosophy in Music - Ethnomusicology,University of Pennsylvania,"USD 188,390",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/Doctor-of-Philosophy-in-Music-Ethnomusicology/p/PRG-US-00229539
6717,performing-arts-and-music,Master of Music in Performance - Wind Conducting,Florida State University,"USD 44,540",https://www.idp.com/global/Categories/Florida-State-University/Master-of-Music-in-Performance-Wind-Conducting/p/PRG-US-00229544
6718,performing-arts-and-music,Master of Music in Performance - Jazz,Florida State University,"USD 33,405",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/Master-of-Music-in-Performance-Jazz/p/PRG-US-00229548
6719,performing-arts-and-music,Master of Music in Performance - Strings,Florida State University,"USD 33,405",https://www.idp.com/global/Categories/Florida-State-University/Master-of-Music-in-Performance-Strings/p/PRG-US-00229552
6720,performing-arts-and-music,Bachelor of Music in Music Performance - Jazz,Florida State University,"USD 75,184",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/Bachelor-of-Music-in-Music-Performance-Jazz/p/PRG-US-00229191
6721,performing-arts-and-music,Bachelor of Music in Music Performance - Strings,Florida State University,"USD 75,184",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/Bachelor-of-Music-in-Music-Performance-Strings/p/PRG-US-00229195
6722,performing-arts-and-music,Bachelor of Music in Music Performance - Brass,Florida State University,"USD 75,184",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Music/Bachelor-of-Music-in-Music-Performance-Brass/p/PRG-US-00229197
6723,performing-arts-and-music,Master of Arts in Dance in Studio and Related Studies,Florida State University,"USD 44,540",https://www.idp.com/global/Categories/Performing-Arts-and-Music/Dance/Master-of-Arts-in-Dance-in-Studio-and-Related-Studies/p/PRG-US-00229363
