,area of study,course_name,university_name,course_fee,course_link
2426,history,MA the History of Art: Renaissance to Modernism by Research,University of Buckingham,"GBP 15,435",https://www.idp.com/global/Categories/University-of-Buckingham/MA-the-History-of-Art-Renaissance-to-Modernism-by-Research/p/PRG-UK-00208669
2427,history,MA the English Country House 1485-1945 by Research,University of Buckingham,"GBP 15,435",https://www.idp.com/global/Categories/University-of-Buckingham/MA-the-English-Country-House-1485-1945-by-Research/p/PRG-UK-00208679
2428,history,MA the Art Market and the History of Collecting,University of Buckingham,"GBP 15,435",https://www.idp.com/global/Categories/University-of-Buckingham/MA-the-Art-Market-and-the-History-of-Collecting/p/PRG-UK-00208677
2429,history,MSci (Hons) Archaeology,Queen's University Belfast,"GBP 85,600",https://www.idp.com/global/Categories/Queen%27s-University-Belfast/MSci-Hons-Archaeology/p/PRG-UK-00209915
2430,history,BA (Hons) History of Art with Film,"Birkbeck, University of London","GBP 42,840",https://www.idp.com/global/Categories/Birkbeck%2C-University-of-London/BA-Hons-History-of-Art-with-Film/p/PRG-UK-00210063
2431,history,BA (Hons) History and International Relations,King's College London,"GBP 62,370",https://www.idp.com/global/Categories/King%27s-College-London/BA-Hons-History-and-International-Relations/p/PRG-UK-00210139
2432,history,"PhD,MPhil,MRes History",University of Strathclyde,"GBP 42,450",https://www.idp.com/global/Categories/University-of-Strathclyde/PhDMPhilMRes-History/p/PRG-UK-00210638
2433,history,BA (Hons) History and Social Policy,University of Strathclyde,"GBP 61,200",https://www.idp.com/global/Categories/University-of-Strathclyde/BA-Hons-History-and-Social-Policy/p/PRG-UK-00211184
2434,history,"BA (Hons) History, Politics and International Relations","Royal Holloway, University of London","GBP 53,100",https://www.idp.com/global/Categories/Royal-Holloway%2C-University-of-London/BA-Hons-History-Politics-and-International-Relations/p/PRG-UK-00232472
2435,history,BA (Hons) Modern and Contemporary History,"Royal Holloway, University of London","GBP 53,100",https://www.idp.com/global/Categories/Royal-Holloway%2C-University-of-London/BA-Hons-Modern-and-Contemporary-History/p/PRG-UK-00232509
2436,history,BA (Hons) Archaeology and History,University of Manchester,"GBP 57,000",https://www.idp.com/global/Categories/History/Archaeology/BA-Hons-Archaeology-and-History/p/PRG-UK-00235273
2437,history,BA (Hons) Art History and History,University of Manchester,"GBP 57,000",https://www.idp.com/global/Categories/University-of-Manchester/BA-Hons-Art-History-and-History/p/PRG-UK-00235274
2438,history,Mphil Archaeology,University of Central Lancashire,"GBP 30,400",https://www.idp.com/global/Categories/University-of-Central-Lancashire/Mphil-Archaeology/p/PRG-UK-00235845
2439,history,Mphil History,University of Central Lancashire,"GBP 27,400",https://www.idp.com/global/Categories/University-of-Central-Lancashire/Mphil-History/p/PRG-UK-00235859
2440,history,MRes History,University of Central Lancashire,"GBP 13,200",https://www.idp.com/global/Categories/University-of-Central-Lancashire/MRes-History/p/PRG-UK-00235987
2441,history,MSc by Research History,University of Edinburgh,"GBP 22,850",https://www.idp.com/global/Categories/University-of-Edinburgh/MSc-by-Research-History/p/PRG-UK-00238096
2442,history,History of Art (Postgraduate Diploma),"Birkbeck, University of London","GBP 10,680",https://www.idp.com/global/Categories/Birkbeck%2C-University-of-London/History-of-Art-Postgraduate-Diploma/p/PRG-UK-00241253
2443,history,BA History with Foundation Year,University of Sheffield,"GBP 76,200",https://www.idp.com/global/Categories/University-of-Sheffield/BA-History-with-Foundation-Year/p/PRG-UK-00241263
2444,history,Public Histories (MA),"Birkbeck, University of London","GBP 16,020",https://www.idp.com/global/Categories/Birkbeck%2C-University-of-London/Public-Histories-MA/p/PRG-UK-00241272
2445,history,BA (Hons) Art History and History,University of Lincoln,"GBP 43,200",https://www.idp.com/global/Categories/University-of-Lincoln/BA-Hons-Art-History-and-History/p/PRG-UK-00243053
2446,history,A Level History,Bellerbys College,"GBP 27,501",https://www.idp.com/global/Categories/Bellerbys-College/A-Level-History/p/PRG-UK-00247367
2447,history,A Level History,Bellerbys College,"GBP 45,835",https://www.idp.com/global/Categories/Bellerbys-College/A-Level-History/p/PRG-UK-00247368
2448,history,A Level History,Bellerbys College,"GBP 55,002",https://www.idp.com/global/Categories/Bellerbys-College/A-Level-History/p/PRG-UK-00247371
2449,history,Bachelor of Arts in History,University of Denver,"USD 210,384",https://www.idp.com/global/Categories/University-of-Denver/Bachelor-of-Arts-in-History/p/PRG-US-00039712
2450,history,Historic Preservation Certificate,University of West Florida,"USD 12,444",https://www.idp.com/global/Categories/University-of-West-Florida/Historic-Preservation-Certificate/p/PRG-US-00223897
2451,history,Bachelor of Arts in Art History and Visual Arts,Columbia University,"USD 257,856",https://www.idp.com/global/Categories/Columbia-University/Bachelor-of-Arts-in-Art-History-and-Visual-Arts/p/PRG-US-00229971
2452,history,Bachelor of Arts / Master of Arts in History,Florida International University,"USD 92,830",https://www.idp.com/global/Categories/Florida-International-University/Bachelor-of-Arts-Master-of-Arts-in-History/p/PRG-US-00230200
2453,history,Master of Arts in History - Africa and Middle East,Florida International University,"USD 27,045",https://www.idp.com/global/Categories/Florida-International-University/Master-of-Arts-in-History-Africa-and-Middle-East/p/PRG-US-00230570
2454,history,Graduate Certificate in Egyptian Archaeology,University of Arizona,"USD 11,200",https://www.idp.com/global/Categories/University-of-Arizona/Graduate-Certificate-in-Egyptian-Archaeology/p/PRG-US-00230874
2455,history,Associate in Arts for Transfer in Art History (Berkeley City College),Peralta Community College District,"USD 15,900",https://www.idp.com/global/Categories/Peralta-Community-College-District/Associate-in-Arts-for-Transfer-in-Art-History-Berkeley-City-College/p/PRG-US-00232771
2456,history,Associate in Arts for Transfer in History (Berkeley City College),Peralta Community College District,"USD 15,900",https://www.idp.com/global/Categories/Peralta-Community-College-District/Associate-in-Arts-for-Transfer-in-History-Berkeley-City-College/p/PRG-US-00232885
2457,history,Certificate of Proficiency in Natural History,Peralta Community College District,"USD 3,975",https://www.idp.com/global/Categories/Peralta-Community-College-District/Certificate-of-Proficiency-in-Natural-History/p/PRG-US-00233055
2458,history,Associate of Arts for Transfer in History (College of Alameda),Peralta Community College District,"USD 15,900",https://www.idp.com/global/Categories/Peralta-Community-College-District/Associate-of-Arts-for-Transfer-in-History-College-of-Alameda/p/PRG-US-00233484
2459,history,Bachelor of Arts in History with Grades 7-12 Social Studies Certification,University of Houston - Clear Lake,"USD 98,880",https://www.idp.com/global/Categories/University-of-Houston---Clear-Lake/Bachelor-of-Arts-in-History-with-Grades-7-12-Social-Studies-Certification/p/PRG-US-00241411
2460,history,Bachelor of Arts in History with Grades 7-12 History Certification,University of Houston - Clear Lake,"USD 98,880",https://www.idp.com/global/Categories/University-of-Houston---Clear-Lake/Bachelor-of-Arts-in-History-with-Grades-7-12-History-Certification/p/PRG-US-00241410
2461,history,Bachelor of Arts in History (Honors),Brown University,"USD 237,016",https://www.idp.com/global/Categories/Brown-University/Bachelor-of-Arts-in-History-Honors/p/PRG-US-00241818
