,location,course_link,duration,entry_score,course_qualification,intakes
9453,United Kingdom,https://www.idp.com/global/Categories/University-of-Southampton/BSc-Business-Entrepreneurship/p/PRG-UK-00159882,3 Year(s),6.5 IELTS,Bachelor Degree,['september']
9454,United Kingdom,https://www.idp.com/global/Categories/University-of-Southampton/BSc-Business-Entrepreneurship-with-Placement/p/PRG-UK-00159886,4 Year(s),6.5 IELTS,Bachelor Degree,['september']
9455,United Kingdom,https://www.idp.com/global/Categories/University-of-Southampton/BSc-Marketing/p/PRG-UK-00159980,3 Year(s),6.5 IELTS,Bachelor Degree,['september']
9456,United Kingdom,https://www.idp.com/global/Categories/Heriot-Watt-University/Foundation-in-Business-Malaysia-Campus/p/PRG-UK-00165671,3 Semester(s),,Foundation for Undergraduate,"['april', 'july', 'september']"
9457,United Kingdom,https://www.idp.com/global/Categories/Heriot-Watt-University/BBA-Hons-Bachelor-of-Business-Administration-Dubai-Campus/p/PRG-UK-00165801,4 Year(s),6.0 IELTS,Bachelor Degree with Honours,"['january', 'september']"
9458,United Kingdom,https://www.idp.com/global/Categories/University-of-Bristol/BSc-Hons-Management-with-Study-Abroad/p/PRG-UK-00202952,4 Year(s),6.5 IELTS,Bachelor Degree with Honours,['september']
9459,United Kingdom,https://www.idp.com/global/Categories/Edinburgh-Napier-University/BA-Hons-Business-Management-With-Human-Resource-Management/p/PRG-UK-00232098,4 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
9460,United Kingdom,https://www.idp.com/global/Categories/University-of-Southampton/BSc-Business-Management-and-French/p/PRG-UK-00233137,4 Year(s),6.5 IELTS,Bachelor Degree,['september']
9461,United Kingdom,https://www.idp.com/global/Categories/University-of-Warwick/BSc-International-Business-with-Italian/p/PRG-UK-00234665,4 Year(s),7.0 IELTS,Bachelor Degree,['october']
9462,United Kingdom,https://www.idp.com/global/Categories/Business/International-Business/BSc-International-Business-with-German/p/PRG-UK-00234664,4 Year(s),7.0 IELTS,Bachelor Degree,['october']
9463,United Kingdom,https://www.idp.com/global/Categories/Business/Business-Administration/BBA-Bachelor-of-Business-Administration-Dubai-Campus/p/PRG-UK-00277682,3 Year(s),6.0 IELTS,Bachelor Degree,"['january', 'september']"
9464,United Kingdom,https://www.idp.com/global/Categories/University-of-Southampton/Pre-Masters-Programme-Masters-with-Int-Prep-Study/p/PRG-UK-00297235,2 Year(s),,Foundation for Postgraduate,['september']
9465,United Kingdom,https://www.idp.com/global/Categories/University-of-Southampton/PhD-Business-Studies-and-Management/p/PRG-UK-00298851,4 Year(s),7.0 IELTS,Ph.D.,"['feb', 'september']"
9466,United Kingdom,https://www.idp.com/global/Categories/Edinburgh-Napier-University/MSc-Real-Estate-Management-and-Investment/p/PRG-UK-00304997,1 Year(s),6.0 IELTS,Masters Degree (Taught),"['january', 'september']"
9467,United Kingdom,https://www.idp.com/global/Categories/University-of-Bristol/MSc-Global-Operations-and-Supply-Chain-Management/p/PRG-UK-00306340,1 Year(s),7.0 IELTS,Masters Degree (Taught),['september']
9468,United Kingdom,https://www.idp.com/global/Categories/Heriot-Watt-University/MA-Hons-International-Business-Management-with-Enterprise-Dubai-Campus/p/PRG-UK-00306892,4 Year(s),6.0 IELTS,Undergraduate Masters,"['january', 'september']"
9469,United Kingdom,https://www.idp.com/global/Categories/Heriot-Watt-University/MA-Hons-International-Business-Management-with-Marketing-Dubai-Campus/p/PRG-UK-00306895,4 Year(s),6.0 IELTS,Undergraduate Masters,"['january', 'september']"
9470,United Kingdom,https://www.idp.com/global/Categories/Heriot-Watt-University/MA-Hons-International-Business-Management-with-Operations-Management-Dubai-Campus/p/PRG-UK-00306897,4 Year(s),6.0 IELTS,Undergraduate Masters,"['january', 'september']"
9471,United Kingdom,https://www.idp.com/global/Categories/Edinburgh-Napier-University/BA-Hons-International-Festival-and-Event-Management-With-Entrepreneurship/p/PRG-UK-00337479,4 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
9472,United Kingdom,https://www.idp.com/global/Categories/Edinburgh-Napier-University/BA-Hons-International-Festival-and-Event-Management-With-Tourism/p/PRG-UK-00337528,4 Year(s),6.0 IELTS,Bachelor Degree with Honours,['september']
9473,United Kingdom,https://www.idp.com/global/Categories/Heriot-Watt-University/MA-Hons-International-Business-Management-with-Human-Resource-Management-Dubai-Campus/p/PRG-UK-00337557,4 Year(s),6.0 IELTS,Undergraduate Masters,"['january', 'september']"
9474,United Kingdom,https://www.idp.com/global/Categories/Business/MA-Hons-Real-Estate-Management-and-Finance-Dubai-Campus/p/PRG-UK-00337787,4 Year(s),6.0 IELTS,Undergraduate Masters,['september']
