,area of study,course_name,university_name,course_fee,course_link
32,business,Master of Business Management,University of Canterbury,"NZD 45,375",https://www.idp.com/global/Categories/University-of-Canterbury/Master-of-Business-Management/p/PRG-NZ-00338124
33,business,Master of Business Management,University of Canterbury,"NZD 45,375",https://www.idp.com/global/Categories/University-of-Canterbury/Master-of-Business-Management/p/PRG-NZ-00121608
34,business,Ontario College Graduate Certificate in Project Management,Conestoga College,"CAD 13,000",https://www.idp.com/global/Categories/Conestoga-College/Ontario-College-Graduate-Certificate-in-Project-Management/p/PRG-CA-00089649
35,business,Graduate Certificate in Project Management,Fanshawe College,"CAD 14,750",https://www.idp.com/global/Categories/Fanshawe-College/Graduate-Certificate-in-Project-Management/p/PRG-CA-00100819
36,business,Ontario Graduate Certificate in Global Business Management,Humber Institute of Technology & Advanced Learning,"CAD 33,214",https://www.idp.com/global/Categories/Humber-Institute-of-Technology-%26-Advanced-Learning/Ontario-Graduate-Certificate-in-Global-Business-Management/p/PRG-CA-00089961
37,business,Diploma of Commerce,Deakin College,"AUD 30,480",https://www.idp.com/global/Categories/Business/Management-and-Commerce/Diploma-of-Commerce/p/PRG-AU-00061969
38,business,Diploma of Commerce (Jakarta Campus),Deakin College,"AUD 13,500",https://www.idp.com/global/Categories/Deakin-College/Diploma-of-Commerce-Jakarta-Campus/p/PRG-AU-00369387
39,business,Bachelor of Business,Monash University,"AUD 135,000",https://www.idp.com/global/Categories/Monash-University/Bachelor-of-Business/p/PRG-AU-00061947
40,business,Diploma of Commerce,Deakin College,"AUD 30,480",https://www.idp.com/global/Categories/Deakin-College/Diploma-of-Commerce/p/PRG-AU-00327758
41,business,Diploma of Commerce (Jakarta Campus),Deakin College,"AUD 13,500",https://www.idp.com/global/Categories/Deakin-College/Diploma-of-Commerce-Jakarta-Campus/p/PRG-AU-00369388
42,business,Diploma of Business (Business) {MONASH COLLEGE BUSINESS PART 2},Monash College,"AUD 31,490",https://www.idp.com/global/Categories/Monash-College/Diploma-of-Business-Business-MONASH-COLLEGE-BUSINESS-PART-2/p/PRG-AU-00121976
43,business,Graduate Certificate in International Business Management,Fleming College,"CAD 18,685",https://www.idp.com/global/Categories/Fleming-College/Graduate-Certificate-in-International-Business-Management/p/PRG-CA-00100858
44,business,MSc Marketing,University of Nottingham,"GBP 30,000",https://www.idp.com/global/Categories/University-of-Nottingham/MSc-Marketing/p/PRG-UK-00081143
45,business,Graduate Certificate in Global Business Management,Fleming College,"CAD 36,479",https://www.idp.com/global/Categories/Fleming-College/Graduate-Certificate-in-Global-Business-Management/p/PRG-CA-00213437
46,business,Bachelor of Commerce,The Australian National University,"AUD 117,270",https://www.idp.com/global/Categories/The-Australian-National-University/Bachelor-of-Commerce/p/PRG-AU-00064511
47,business,Master of Commerce - Undeclared,The University of Queensland,"AUD 88,544",https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Commerce-Undeclared/p/PRG-AU-00273025
48,business,Graduate Certificate in Business Management,Fanshawe College,"CAD 29,500",https://www.idp.com/global/Categories/Fanshawe-College/Graduate-Certificate-in-Business-Management/p/PRG-CA-00315081
49,business,Graduate Certificate in International Business Management,Fanshawe College,"CAD 14,046",https://www.idp.com/global/Categories/Fanshawe-College/Graduate-Certificate-in-International-Business-Management/p/PRG-CA-00086493
50,business,Postgraduate Diploma in Business Enterprise [Invercargill],Southern Institute of Technology,"NZD 18,000",https://www.idp.com/global/Categories/Southern-Institute-of-Technology/Postgraduate-Diploma-in-Business-Enterprise-Invercargill/p/PRG-NZ-00165761
51,business,Master of Business Administration,University of Technology Sydney,"AUD 85,536",https://www.idp.com/global/Categories/University-of-Technology-Sydney/Master-of-Business-Administration/p/PRG-AU-00064893
52,business,Master of Marketing,AUT,"NZD 49,995",https://www.idp.com/global/Categories/AUT/Master-of-Marketing/p/PRG-NZ-00110147
53,business,Master of Management Studies,The University of Waikato,"NZD 30,855",https://www.idp.com/global/Categories/The-University-of-Waikato/Master-of-Management-Studies/p/PRG-NZ-00073789
54,business,Master of Management Studies,The University of Waikato,"NZD 46,285",https://www.idp.com/global/Categories/The-University-of-Waikato/Master-of-Management-Studies/p/PRG-NZ-00304809
55,business,MSc Marketing Communications,University of Birmingham,"GBP 23,580",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Marketing-Communications/p/PRG-UK-00073004
56,business,Master of Business - Marketing,The University of Queensland,"AUD 84,544",https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Business-Marketing/p/PRG-AU-00115742
57,business,Master of International Business,The University of Auckland,"NZD 84,520",https://www.idp.com/global/Categories/The-University-of-Auckland/Master-of-International-Business/p/PRG-NZ-00074046
58,business,Master of Management in Marketing,The University of Melbourne,"AUD 91,648",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Management-in-Marketing/p/PRG-AU-00109962
59,business,Master of Management in Marketing,The University of Melbourne,"AUD 68,736",https://www.idp.com/global/Categories/Business/Master-of-Management-in-Marketing/p/PRG-AU-00330197
60,business,MSc Business and Management,University of Nottingham,"GBP 25,000",https://www.idp.com/global/Categories/University-of-Nottingham/MSc-Business-and-Management/p/PRG-UK-00107914
61,business,Graduate Diploma in Operations and Production Management,Waikato Institute of Technology,"NZD 22,310",https://www.idp.com/global/Categories/Waikato-Institute-of-Technology/Graduate-Diploma-in-Operations-and-Production-Management/p/PRG-NZ-00163040
62,business,Master of Management - International Business,Massey University,"NZD 47,715",https://www.idp.com/global/Categories/Massey-University/Master-of-Management-International-Business/p/PRG-NZ-00193804
63,business,Master of Business Administration (2 years),Macquarie University,"AUD 80,000",https://www.idp.com/global/Categories/Macquarie-University/Master-of-Business-Administration-2-years/p/PRG-AU-00062010
64,business,Master of Business Administration (1.5 years),Macquarie University,"AUD 60,000",https://www.idp.com/global/Categories/Business/Business-Administration/Master-of-Business-Administration-15-years/p/PRG-AU-00334867
65,business,MSc Human Resource Management and Organisation,University of Nottingham,"GBP 30,000",https://www.idp.com/global/Categories/University-of-Nottingham/MSc-Human-Resource-Management-and-Organisation/p/PRG-UK-00165246
