,location,course_link,duration,entry_score,course_qualification,intakes
1406,United States,https://www.idp.com/global/Categories/Boston-University/Master-of-Liberal-Arts-in-Gastronomy-History-and-Culture/p/PRG-US-00287391,4 Semester(s),6.5 IELTS,Masters Degree,"['january', 'may', 'september']"
1407,Australia,https://www.idp.com/global/Categories/Blue-Mountains-International-Hotel-Management-School/Associate-Degree-of-Business-International-Hotel-and-Resort-Management/p/PRG-AU-00060650,2 Year(s),6.0 IELTS,Associate Degree,"['january', 'april', 'july', 'september']"
1408,Australia,https://www.idp.com/global/Categories/University-of-Technology-Sydney/Bachelor-of-Management-and-Bachelor-of-Arts-in-International-Studies-Tourism/p/PRG-AU-00115499,5 Year(s),6.5 IELTS,Dual Degree,['feb']
1409,Australia,https://www.idp.com/global/Categories/TAFE-Queensland/Diploma-of-Hospitality-Management/p/PRG-AU-00307867,1 Year(s),,Diploma,"['january', 'july']"
1410,Australia,https://www.idp.com/global/Categories/TAFE-Queensland/Certificate-III-in-Travel-Diploma-of-Travel-and-Tourism-Management/p/PRG-AU-00334542,1 Year(s),,Certificate III,"['january', 'july']"
1411,Australia,https://www.idp.com/global/Categories/Bond-University/Master-of-Management-in-Tourism-and-Hotel-Management/p/PRG-AU-00367352,1 Year(s),6.5 IELTS,Masters Degree (Coursework),"['january', 'may', 'september']"
1412,Australia,https://www.idp.com/global/Categories/Bond-University/Master-of-Actuarial-Science-Professional-in-Tourism-and-Hotel-Management/p/PRG-AU-00367405,92 Week(s),6.5 IELTS,Masters Degree (Coursework),"['january', 'may', 'september']"
1413,Canada,https://www.idp.com/global/Categories/Assiniboine-Community-College/Diploma-in-Culinary-Arts/p/PRG-CA-00323058,2 Year(s),6.5 IELTS,Bachelor Degree,['september']
1414,Canada,https://www.idp.com/global/Categories/Assiniboine-Community-College/Diploma-in-Hotel-and-Restaurant-Management/p/PRG-CA-00323061,2 Year(s),6.5 IELTS,Bachelor Degree,['september']
1415,New Zealand,https://www.idp.com/global/Categories/Hospitality-and-Tourism/Beauty/New-Zealand-Diploma-in-Beauty-Therapy/p/PRG-NZ-00262475,40 Week(s),,Diploma level 5,['feb']
1416,New Zealand,https://www.idp.com/global/Categories/Nelson-Marlborough-Institute-of-Technology/Certificate-in-Adventure-Tourism-and-Guiding-Level-4/p/PRG-NZ-00262512,40 Week(s),,Certificate level 4,['feb']
1417,New Zealand,https://www.idp.com/global/Categories/Nelson-Marlborough-Institute-of-Technology/New-Zealand-Diploma-in-Hospitality-Management-Level-5/p/PRG-NZ-00262565,18 Month(s),,Diploma level 5,['july']
1418,New Zealand,https://www.idp.com/global/Categories/Hospitality-and-Tourism/Food-And-Hospitality/International-Diploma-in-Food-Preparation-and-Cookery-Supervision-Advanced-Level-5/p/PRG-NZ-00263195,2 Year(s),,Diploma level 5,"['january', 'april', 'june', 'september', 'november']"
1419,New Zealand,https://www.idp.com/global/Categories/Hospitality-and-Tourism/Beauty/New-Zealand-Certificate-in-Beauty-Therapy-Level-4/p/PRG-NZ-00340859,1 Year(s),,Certificate level 4,['feb']
1420,New Zealand,https://www.idp.com/global/Categories/Nelson-Marlborough-Institute-of-Technology/New-Zealand-Diploma-in-Hospitality-Management-Level-5/p/PRG-NZ-00262565,18 Month(s),,Diploma level 5,['july']
