,location,course_link,duration,entry_score,course_qualification,intakes
8829,United States,https://www.idp.com/global/Categories/Brown-University/Bachelor-of-Arts-in-Public-Policy/p/PRG-US-00010975,8 Semester(s),8.0 IELTS,Bachelor Degree,['september']
8830,Canada,https://www.idp.com/global/Categories/Laurentian-University/Bachelor-of-Arts-in-Sociology-4-years/p/PRG-CA-00175221,4 Year(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'september']"
8831,Canada,https://www.idp.com/global/Categories/York-University/Bachelor-of-Arts-in-Interdisciplinary-Social-Science/p/PRG-CA-00175392,3 Year(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'september']"
8832,Canada,https://www.idp.com/global/Categories/Lakehead-University/Bachelor-of-Arts-in-Political-Science-and-History-Honours/p/PRG-CA-00175789,4 Year(s),6.5 IELTS,Bachelor Degree with Honours,"['january', 'september']"
8833,Canada,https://www.idp.com/global/Categories/McMaster-University/Bachelor-of-Arts-in-Indigenous-Studies-Honours/p/PRG-CA-00178977,4 Year(s),6.5 IELTS,Bachelor Degree with Honours,['september']
8834,Canada,https://www.idp.com/global/Categories/McMaster-University/Doctor-of-Philosophy-in-Political-Science-Comparative-Public-Policy/p/PRG-CA-00179331,4 Year(s),6.5 IELTS,Ph.D.,['september']
8835,Canada,https://www.idp.com/global/Categories/University-of-Victoria/Bachelor-of-Arts-in-Mediterranean-Studies/p/PRG-CA-00179819,4 Year(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'september']"
8836,Canada,https://www.idp.com/global/Categories/Trent-University/Bachelor-of-Social-Work/p/PRG-CA-00179843,6 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'september']"
8837,Canada,https://www.idp.com/global/Categories/Trent-University/Bachelor-of-Arts-in-Political-Studies-Honours/p/PRG-CA-00179853,8 Semester(s),6.5 IELTS,Bachelor Degree with Honours,"['january', 'september']"
8838,Canada,https://www.idp.com/global/Categories/Trent-University/Bachelor-of-Arts-in-Political-Studies/p/PRG-CA-00179852,6 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'september']"
8839,Canada,https://www.idp.com/global/Categories/Political-and-Social-Sciences/Social-Science/Pre-Social-Work/p/PRG-CA-00180282,1 Year(s),,Foundation for Undergraduate,"['january', 'may', 'september']"
8840,United States,https://www.idp.com/global/Categories/University-of-Arizona/Bachelor-of-Science-in-Urban-and-Regional-Development/p/PRG-US-00013028,4 Year(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
8841,United States,https://www.idp.com/global/Categories/Brigham-Young-University---Provo/Master-of-Science-in-Sociology/p/PRG-US-00014001,4 Semester(s),7.0 IELTS,Masters Degree,['august']
