,location,course_link,duration,entry_score,course_qualification,intakes
1605,United States,https://www.idp.com/global/Categories/Physics/Doctor-of-Philosophy-in-Physics-Statistical-Physics/p/PRG-US-00320444,6 Semester(s),6.5 IELTS,Ph.D.,['august']
1606,United States,https://www.idp.com/global/Categories/Pittsburg-State-University/Bachelor-of-Science-in-Education-Physics/p/PRG-US-00320496,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'june', 'august']"
1607,United States,https://www.idp.com/global/Categories/Pittsburg-State-University/Bachelor-of-Science-in-Physics-Customized/p/PRG-US-00320498,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'june', 'august']"
1608,United States,https://www.idp.com/global/Categories/Pittsburg-State-University/Bachelor-of-Science-in-Physics-Polymer-Physics/p/PRG-US-00320504,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'june', 'august']"
1609,United States,https://www.idp.com/global/Categories/Western-Illinois-University/Bachelor-of-Science-in-Physics-Standard-Physics/p/PRG-US-00320758,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1610,United States,https://www.idp.com/global/Categories/Physics/Astronomy/Doctor-of-Philosophy-in-Earth-and-Planetary-Sciences/p/PRG-US-00322058,6 Semester(s),6.0 IELTS,Ph.D.,"['january', 'august']"
1611,United States,https://www.idp.com/global/Categories/Physics/Astronomy/Master-of-Science-in-Earth-and-Planetary-Sciences/p/PRG-US-00321940,2 Semester(s),6.0 IELTS,Masters Degree,"['january', 'august']"
1612,United States,https://www.idp.com/global/Categories/Colorado-State-University/Bachelor-of-Science-in-Physics-Physics/p/PRG-US-00322607,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
1613,United States,https://www.idp.com/global/Categories/North-Carolina-State-University---Raleigh/Doctor-of-Philosophy-in-Physics-Physics-Education-Research/p/PRG-US-00323989,6 Semester(s),6.5 IELTS,Ph.D.,"['august', 'september']"
1614,United States,https://www.idp.com/global/Categories/Physics/Doctor-of-Philosophy-in-Physics-Nonlinear-and-Complex-Systems/p/PRG-US-00323987,6 Semester(s),6.5 IELTS,Ph.D.,"['august', 'september']"
1615,United States,https://www.idp.com/global/Categories/Physics/Doctor-of-Philosophy-in-Physics-Theoretical-Nuclear-and-Particle-Physics/p/PRG-US-00323992,6 Semester(s),6.5 IELTS,Ph.D.,"['august', 'september']"
1616,United States,https://www.idp.com/global/Categories/Physics/Particle-and-Material-Physics/Bachelor-of-Science-in-Materials-Science-and-Engineering/p/PRG-US-00324246,10 Semester(s),6.0 IELTS,Bachelor Degree,['september']
1617,United States,https://www.idp.com/global/Categories/Physics/Bachelor-of-Arts-in-Physics-Physical-Theory-and-Experimental-Technique/p/PRG-US-00325015,8 Semester(s),6.0 IELTS,Bachelor Degree,['september']
1618,United States,https://www.idp.com/global/Categories/Physics/Bachelor-of-Arts-in-Physics-Chemical-Principles/p/PRG-US-00325012,8 Semester(s),6.0 IELTS,Bachelor Degree,['september']
1619,United States,https://www.idp.com/global/Categories/Montana-State-University/Doctor-of-Philosophy-in-Gravitational-Physics/p/PRG-US-00325750,6 Semester(s),6.5 IELTS,Ph.D.,['august']
1620,United States,https://www.idp.com/global/Categories/Physics/Doctor-of-Philosophy-in-Space-Physics/p/PRG-US-00325752,6 Semester(s),6.5 IELTS,Ph.D.,['august']
1621,United States,https://www.idp.com/global/Categories/Physics/Doctor-of-Philosophy-in-Solar-Physics/p/PRG-US-00325751,6 Semester(s),6.5 IELTS,Ph.D.,['august']
1622,United States,https://www.idp.com/global/Categories/Physics/Doctor-of-Philosophy-in-Optical-and-Quantum-Systems/p/PRG-US-00325749,6 Semester(s),6.5 IELTS,Ph.D.,['august']
1623,United States,https://www.idp.com/global/Categories/Physics/Astronomy/Doctor-of-Philosophy-in-Astrophysics-Neutron-Stars/p/PRG-US-00325754,6 Semester(s),6.5 IELTS,Ph.D.,['august']
1624,United States,https://www.idp.com/global/Categories/University-of-New-Mexico/Bachelor-of-Science-in-Physics-Earth-and-Planetary-Sciences-Solid-Earth-Focus/p/PRG-US-00325802,8 Semester(s),6.0 IELTS,Bachelor Degree,"['january', 'june', 'august']"
1625,United States,https://www.idp.com/global/Categories/Michigan-Technological-University/Doctor-of-Philosophy-in-Physics-Astrophysics-and-Particle-Astrophysics/p/PRG-US-00326699,6 Semester(s),6.5 IELTS,Ph.D.,"['january', 'may', 'august']"
1626,United States,https://www.idp.com/global/Categories/Physics/Doctor-of-Philosophy-in-Physics-Materials-Physics/p/PRG-US-00326701,6 Semester(s),6.5 IELTS,Ph.D.,"['january', 'may', 'august']"
1627,United States,https://www.idp.com/global/Categories/Michigan-Technological-University/Doctor-of-Philosophy-in-Physics-PhotonicsQuantum-Optics/p/PRG-US-00326703,6 Semester(s),6.5 IELTS,Ph.D.,"['january', 'may', 'august']"
1628,United States,https://www.idp.com/global/Categories/University-of-Missouri---Kansas-City/Bachelor-of-Science-in-PhysicsBachelor-of-Science-in-Electrical-and-Computer-Engineering/p/PRG-US-00327420,8 Semester(s),5.5 IELTS,Double Major Degree,"['january', 'may', 'august']"
1629,United States,https://www.idp.com/global/Categories/Northwestern-University/Doctor-of-Philosophy-in-Applied-Physics/p/PRG-US-00328166,10 Semester(s),6.0 IELTS,Ph.D.,['september']
1630,United States,https://www.idp.com/global/Categories/University-of-Houston/Master-of-Science-in-Materials-Science-and-Engineering-Non-Thesis/p/PRG-US-00331094,3 Semester(s),6.5 IELTS,Masters Degree,"['january', 'august']"
1631,United States,https://www.idp.com/global/Categories/Northeastern-University/Doctor-of-Philosophy-in-Physics-Biological-and-Medical-Physics/p/PRG-US-00331276,6 Semester(s),,Ph.D.,['september']
1632,United States,https://www.idp.com/global/Categories/Physics/Doctor-of-Philosophy-in-Physics-Theoretical-Particle-Physics/p/PRG-US-00331280,6 Semester(s),,Ph.D.,['september']
1633,United States,https://www.idp.com/global/Categories/University-of-Washington/Bachelor-of-Science-in-Physics-Bothell/p/PRG-US-00331774,8 Semester(s),6.5 IELTS,Bachelor Degree,['september']
1634,United States,https://www.idp.com/global/Categories/Physics/Particle-and-Material-Physics/Doctor-of-Philosophy-in-Aerospace-Engineering-Sciences-Fluids-Structures-and-Materials/p/PRG-US-00332234,8 Semester(s),6.5 IELTS,Ph.D.,"['january', 'august']"
1635,United States,https://www.idp.com/global/Categories/University-of-Georgia/Bachelor-of-Science-in-Atmospheric-Sciences/p/PRG-US-00332104,8 Semester(s),6.5 IELTS,Bachelor Degree,['january']
1636,United States,https://www.idp.com/global/Categories/Physics/Astronomy/Bachelor-of-Science-in-Astrophysics/p/PRG-US-00332103,8 Semester(s),6.5 IELTS,Bachelor Degree,['january']
1637,United States,https://www.idp.com/global/Categories/University-of-Colorado---Boulder/Doctor-of-Philosophy-in-Geological-Sciences-Cosmochemistry-and-Planetary-Geology/p/PRG-US-00332723,6 Semester(s),6.0 IELTS,Ph.D.,['august']
1638,United States,https://www.idp.com/global/Categories/Physics/Bachelor-of-Science-in-Science-Education-Physics/p/PRG-US-00333164,8 Semester(s),6.5 IELTS,Bachelor Degree,"['january', 'may', 'august']"
