,area of study,course_name,university_name,course_fee,course_link
831,physics,Master of Science in Physics,University of Tennessee,"USD 47,697",https://www.idp.com/global/Categories/University-of-Tennessee/Master-of-Science-in-Physics/p/PRG-US-00003089
832,physics,Bachelor of Science in Physics,Kansas State University,"USD 101,004",https://www.idp.com/global/Categories/Kansas-State-University/Bachelor-of-Science-in-Physics/p/PRG-US-00003550
833,physics,Master of Science in Interdisciplinary Materials Science,Vanderbilt University,"USD 60,780",https://www.idp.com/global/Categories/Physics/Particle-and-Material-Physics/Master-of-Science-in-Interdisciplinary-Materials-Science/p/PRG-US-00003884
834,physics,Bachelor of Science in Materials Science and Engineering,Virginia Tech,"USD 123,320",https://www.idp.com/global/Categories/Physics/Particle-and-Material-Physics/Bachelor-of-Science-in-Materials-Science-and-Engineering/p/PRG-US-00003975
835,physics,Doctor of Philosophy in Physics,Virginia Tech,"USD 142,050",https://www.idp.com/global/Categories/Virginia-Tech/Doctor-of-Philosophy-in-Physics/p/PRG-US-00004052
836,physics,Master of Science in Physics,Virginia Tech,"USD 42,615",https://www.idp.com/global/Categories/Virginia-Tech/Master-of-Science-in-Physics/p/PRG-US-00004053
837,physics,Master of Science in Materials Science and Engineering,Virginia Tech,"USD 42,615",https://www.idp.com/global/Categories/Physics/Particle-and-Material-Physics/Master-of-Science-in-Materials-Science-and-Engineering/p/PRG-US-00004066
838,physics,Doctor of Philosophy in Physics,University of Hawaii - Manoa,"USD 100,944",https://www.idp.com/global/Categories/University-of-Hawaii---Manoa/Doctor-of-Philosophy-in-Physics/p/PRG-US-00004399
839,physics,Master of Science in Astronomy,University of Hawaii - Manoa,"USD 67,296",https://www.idp.com/global/Categories/University-of-Hawaii---Manoa/Master-of-Science-in-Astronomy/p/PRG-US-00004437
840,physics,Bachelor of Science in Physics,University of Hawaii - Manoa,"USD 133,344",https://www.idp.com/global/Categories/University-of-Hawaii---Manoa/Bachelor-of-Science-in-Physics/p/PRG-US-00004479
841,physics,Bachelor of Science in Atmospheric Sciences,University of Hawaii - Manoa,"USD 133,344",https://www.idp.com/global/Categories/University-of-Hawaii---Manoa/Bachelor-of-Science-in-Atmospheric-Sciences/p/PRG-US-00004486
842,physics,Master of Science in Physics and Astronomy,University of Nebraska - Lincoln,"USD 39,208",https://www.idp.com/global/Categories/University-of-Nebraska---Lincoln/Master-of-Science-in-Physics-and-Astronomy/p/PRG-US-00004723
843,physics,Doctor of Philosophy in Physics and Astronomy,University of Nebraska - Lincoln,"USD 98,020",https://www.idp.com/global/Categories/University-of-Nebraska---Lincoln/Doctor-of-Philosophy-in-Physics-and-Astronomy/p/PRG-US-00004722
844,physics,Bachelor of Arts in Physics,University of Nebraska - Lincoln,"USD 107,280",https://www.idp.com/global/Categories/University-of-Nebraska---Lincoln/Bachelor-of-Arts-in-Physics/p/PRG-US-00004769
845,physics,Bachelor of Arts in Astronomy-Physics,University of Wisconsin - Madison,"USD 151,140",https://www.idp.com/global/Categories/University-of-Wisconsin---Madison/Bachelor-of-Arts-in-Astronomy-Physics/p/PRG-US-00005323
846,physics,Bachelor of Science in Atmospheric and Oceanic Sciences,University of Wisconsin - Madison,"USD 151,140",https://www.idp.com/global/Categories/University-of-Wisconsin---Madison/Bachelor-of-Science-in-Atmospheric-and-Oceanic-Sciences/p/PRG-US-00005322
847,physics,Bachelor of Science in Materials Science and Engineering,University of Wisconsin - Madison,"USD 151,140",https://www.idp.com/global/Categories/University-of-Wisconsin---Madison/Bachelor-of-Science-in-Materials-Science-and-Engineering/p/PRG-US-00005339
848,physics,Doctor of Philosophy in Physics,University of Wisconsin - Madison,"USD 76,519",https://www.idp.com/global/Categories/University-of-Wisconsin---Madison/Doctor-of-Philosophy-in-Physics/p/PRG-US-00005440
849,physics,Master of Arts in Physics,University of Wisconsin - Madison,"USD 38,260",https://www.idp.com/global/Categories/University-of-Wisconsin---Madison/Master-of-Arts-in-Physics/p/PRG-US-00005442
